name,institution_type,impervious_surface
"Strider Solar, LLC",Power Plant,0
Huntley,Power Plant,0
"Woodsdale Farm, LLC",Power Plant,0
Wagyu,Power Plant,0
Mtn. Solar 1,Power Plant,0
Mtn. Solar 2,Power Plant,0
CO LI CSG 1 - Kamerra,Power Plant,54
Barneveld Solar,Power Plant,12
Valero Wilmington Cogeneration Plant,Power Plant,97
DG Amaze ACY1,Power Plant,96
Cerro Gordo Wind Farm,Power Plant,0
Brass Mill Center,Power Plant,87
White Marsh Mall,Power Plant,83
Natick Mall,Power Plant,99
Grand Prix Solar,Power Plant,53
100 Brook Hill Drive Solar,Power Plant,86
"Cottonwood Solar, LLC",Power Plant,0
Parking Lot Array,Power Plant,75
Chicot Solar,Power Plant,0
"232 Long Branch 29 Solar I, LLC",Power Plant,0
Hobart & William Smith College Gates Rd.,Power Plant,100
"Barrette Outdoor Living, Inc.",Power Plant,94
"Harvest Beulaville, LLC",Power Plant,35
Athos Solar Project,Power Plant,0
Garrett Solar,Power Plant,0
South Windsor Fuel Cell,Power Plant,0
Alticor Inc - Solar Project,Power Plant,93
"Allium Community Solar Garden, LLC",Power Plant,0
"Aster Community Solar Garden, LLC",Power Plant,0
"Westport Community Solar, LLC",Power Plant,0
"Marigold Community Solar Garden, LLC",Power Plant,0
"Honeysuckle Solar, LLC",Power Plant,0
"Lantana Solar, LLC",Power Plant,0
"Hyacinth Solar, LLC",Power Plant,0
"Coral Bells Solar, LLC",Power Plant,0
"Primrose Solar, LLC",Power Plant,52
"Kerria Solar, LLC",Power Plant,0
"Geranium Solar, LLC",Power Plant,0
"Bellflower Solar, LLC",Power Plant,0
"Iris Solar, LLC (MN)",Power Plant,0
Titan Solar Project,Power Plant,0
"Bingham Solar, LLC",Power Plant,0
"Temperance Solar, LLC",Power Plant,0
Bluefin Origination 1,Power Plant,0
Camp Atterbury Microgrid Hybrid,Power Plant,0
Yorktown Battery Energy Storage Facility,Power Plant,53
Cadillac Battery Energy Storage Facility,Power Plant,53
"Diamond Spring, LLC",Power Plant,0
Juno Solar Project,Power Plant,0
Aragorn Solar Project,Power Plant,0
"Duus Solar, LLC",Power Plant,0
"Firwood Solar, LLC",Power Plant,0
"Aulander Hwy 42 Solar, LLC",Power Plant,0
Campus Drive Solar,Power Plant,94
HO Clarke Generating,Power Plant,0
"Sutton Solar 2, LLC CSG",Power Plant,32
"Lansing Renewables, LLC",Power Plant,0
"Granby Solar, LLC CSG",Power Plant,18
"Hales Mills Solar, LLC",Power Plant,9
"Owlville Creek Solar 2, LLC",Power Plant,0
"Owlville Creek Solar, LLC",Power Plant,0
Galloway 2 Solar Farm,Power Plant,3
Starvation,Power Plant,0
"Scotch Bonnet Solar, LLC",Power Plant,58
"Cubera Solar, LLC",Power Plant,0
"AOC, Capitol Power Plant",Power Plant,85
OE_AZ1,Power Plant,0
OE_GA3,Power Plant,17
Bluebell Solar II,Power Plant,0
Gemini Solar Hybrid,Power Plant,0
Allied Beverages Elizabeth,Power Plant,96
Ticket Network South Windsor,Power Plant,71
Chanel Piscataway Rooftop,Power Plant,81
Colonial Pipeline Allentown Chesterfield,Power Plant,36
Colonial Pipeline Woodbury West Deptford,Power Plant,37
Corbin Russwin Phase 3 Berlin,Power Plant,14
Medline Ind. Phase 2 Tracy,Power Plant,95
Niagara Bottling Stockton,Power Plant,90
Soda Lake 3,Power Plant,0
435A Bergen Avenue,Power Plant,83
Strandness Garden,Power Plant,0
"GSPP Gilman, LLC",Power Plant,51
Riley Road LLC,Power Plant,73
GSSP Schneider LLC,Power Plant,51
Hope Solar Farm LLC,Power Plant,0
Catlin Solar 1 LLC,Power Plant,0
Saratoga Solar LLC,Power Plant,0
CP Middletown Solar I LLC,Power Plant,0
CP Middletown Solar II LLC,Power Plant,0
Phelan Pinon Hills CSD Solar,Power Plant,0
"ESA Hamlet NC , LLC",Power Plant,0
Wapello Solar LLC,Power Plant,0
Mtn. Solar 3 CSG,Power Plant,0
Goodhue Community Solar One LLC CSG,Power Plant,29
"Railroad Solar Farm, LLC",Power Plant,10
"ATOOD Solar IV, LLC",Power Plant,0
Bennington Wind,Power Plant,0
SCV Water - Gladbach Water Treatment Plant Phases I and II,Power Plant,1
"Rancho Seco Solar II, LLC",Power Plant,66
Oxy Renewable Energy - Goldsmith,Power Plant,0
"Jordan Creek Wind Farm, LLC",Power Plant,0
Shelby Solar Array,Power Plant,0
City of Rio Rancho WWTP,Power Plant,0
DEC Phase II at Georgetown,Power Plant,0
"Cuming County Renewables, LLC",Power Plant,23
Falls Creek Garden,Power Plant,0
Star Garden,Power Plant,0
Buffalo Garden,Power Plant,0
Loon Garden,Power Plant,0
Kearsarge Amesbury Hybrid,Power Plant,0
Galesburg Solar Array,Power Plant,0
Stearns Solar I,Power Plant,0
Olinda Trail Solar,Power Plant,0
New Munich Solar,Power Plant,0
Clara City Solar,Power Plant,28
Thermo Fisher,Power Plant,49
Pearl II,Power Plant,46
Vermillion River_MN_GRE DEA-GM,Power Plant,0
Macedon,Power Plant,0
Whittier,Power Plant,0
Williamson,Power Plant,0
Bennett,Power Plant,0
"Greenwich Solar 1, LLC CSG",Power Plant,0
LTMUA,Power Plant,0
IOS II-LAX9,Power Plant,22
"Middletown Solar 1, LLC Hybrid CSG",Power Plant,0
Sierra Pacific Industries (2042-RD),Power Plant,0
Goodhue Community Solar Three LLC CSG,Power Plant,25
DGS Wasco State Prison,Power Plant,50
DGS Central California Womens Facility,Power Plant,89
Fresno Bullard High School Hybrid,Power Plant,96
Fresno Hoover High School Hybrid,Power Plant,100
Fresno Sunnyside High School Hybrid,Power Plant,87
BYU Central Heating Plant,Power Plant,96
Straight Garden Solar,Power Plant,4
Leven Garden Solar,Power Plant,0
Zumbro Solar Garden,Power Plant,0
Mud Garden Solar,Power Plant,13
"IGS CC, LLC",Power Plant,75
Erin Garden Solar,Power Plant,63
Chub Garden Solar,Power Plant,17
Cisco,Power Plant,0
Lincoln Heights I,Power Plant,16
Lincoln Heights II,Power Plant,0
Maston Garden Solar,Power Plant,16
Corriedale Wind Energy,Power Plant,8
UB Fuel Cell,Power Plant,70
Central CA Fuel Cell 1,Power Plant,53
Sun Streams 2,Power Plant,0
Montague Solar,Power Plant,0
Tickle Creek Solar,Power Plant,3
Thomas Creek Solar,Power Plant,0
1001 Ebenezer Church Solar,Power Plant,0
1009 Yadkin Solar,Power Plant,0
1073 Onslow Solar,Power Plant,0
1008 Matthews Solar,Power Plant,0
1045 Tomlin Mill Solar,Power Plant,23
Lang Solar Farm,Power Plant,0
Chenango Solar,Power Plant,0
"Monroe Solar Farm, LLC",Power Plant,10
Solvay Solar,Power Plant,0
Malmedal Solar Garden,Power Plant,0
Wollan Garden Solar,Power Plant,14
RE-VFO LLC,Power Plant,63
St Louis Solar,Power Plant,0
Progress Drive Generation Station,Power Plant,20
Rush Springs Energy Storage (BA),Power Plant,0
Selective Insurance,Power Plant,88
"Rock County Wind Fuel, LLC",Power Plant,12
Bonefish Solar,Power Plant,0
Pika Solar,Power Plant,0
"Mohea Solar Energy Center, LLC",Power Plant,0
Brush Creek Solar,Power Plant,27
Minke Solar,Power Plant,34
Drift Creek Solar,Power Plant,0
Bighorn Solar,Power Plant,0
Hurteau Solar Project Hybrid,Power Plant,71
Alicea Solar Project Hybrid CSG,Power Plant,0
McDougle-Mitchell Solar Project Hybrid C,Power Plant,0
Cycz Solar Project CSG Hybrid,Power Plant,0
West A&B Solar Project Hybrid CSG,Power Plant,36
Annese Solar Project Hybrid CSG,Power Plant,0
Randall Solar Project Hybrid,Power Plant,69
Saint Solar,Power Plant,0
Alcalde Solar Array,Power Plant,0
Ross Hall Central Utility Plant,Power Plant,78
"Traverse Wind Project, LLC",Power Plant,0
Roberds Garden CSG,Power Plant,0
Clear Garden CSG,Power Plant,0
Hatfield Renewables Community Solar,Power Plant,0
Point Wind,Power Plant,21
ACM - Midtown Thermal,Power Plant,100
Gohman Community Solar (CSG),Power Plant,0
ECP Uptown Campus,Power Plant,94
D'Arrigo Brothers - Phase 4,Power Plant,0
Wister Solar,Power Plant,0
"Sundance Wind Project, LLC",Power Plant,0
CD4,Power Plant,0
North Valley,Power Plant,0
DCO Burlington,Power Plant,82
PSREC/SIAD Solar,Power Plant,0
"Maverick Wind Project, LLC",Power Plant,0
Durrance,Power Plant,0
Frederick County - Landfill,Power Plant,45
Calabro Airport North Solar Project,Power Plant,27
Calabro Airport South Solar Project,Power Plant,5
Choctaw Nation Solar Farm,Power Plant,53
Chickasaw Nation Solar Farm,Power Plant,29
Montclair State University Cogen,Power Plant,70
Oso Grande Wind Farm,Power Plant,11
Lakehurst Solar,Power Plant,0
"Copper Mountain Solar 5, LLC",Power Plant,0
Cherry Blossom Solar LLC,Power Plant,1
Lund Hill Solar,Power Plant,0
Walnut Unified School District Walnut HS,Power Plant,92
Mohonasen Central School District,Power Plant,25
Wor-Wic Community College - Offsite,Power Plant,8
Moonlight Packing - Phase 2,Power Plant,0
California City,Power Plant,0
Santa Fe Solar Power Plant,Power Plant,2
Twin Rivers Solar Power Plant,Power Plant,0
CED Crane Solar,Power Plant,0
PA Solar Park II,Power Plant,0
CED Mason City Wind,Power Plant,0
Hickory Park Solar Hybrid,Power Plant,0
Spruce - WCMD - Rubble II,Power Plant,0
Spruce - WCMD - Rubble I,Power Plant,89
Spruce - WCMD - Creek,Power Plant,0
Spruce - WCMD - Resh I,Power Plant,0
Lafayette 2 - Internal Services Dept,Power Plant,34
Jersey City DWP,Power Plant,86
Pima Community College NW,Power Plant,72
Winona Community Solar One LLC,Power Plant,21
Goodhue Community Solar Two LLC,Power Plant,29
Houston/Winona Community Solar One LLC,Power Plant,28
Solar BESS Hybrid,Power Plant,57
Amazon DEN2 Solar Project,Power Plant,1
Amazon BDL3 Solar Project,Power Plant,16
Assembly Solar II LLC,Power Plant,0
Montefiore Weiler (Einstein) Hospital,Power Plant,100
Essex County Correctional Facility Cogen,Power Plant,96
Enter Solar,Power Plant,30
Lange Solar,Power Plant,36
Fordham University,Power Plant,21
Chevron - Lost Hills Hybrid,Power Plant,0
St. Luke's Cornwall Hospital,Power Plant,93
Lily Solar,Power Plant,0
Water Strider Solar,Power Plant,0
Vassar Brothers Medical Center,Power Plant,73
Samoset Solar,Power Plant,0
Woodfields Solar,Power Plant,0
Richmond University Medical Center,Power Plant,90
Mohave Electric Cooperative at Joy Lane,Power Plant,64
"St. Joseph's Solar, LLC CSG",Power Plant,0
"Boutillier Solar, LLC CSG",Power Plant,10
"Blair Wire Village Solar, LLC CSG",Power Plant,8
"Barton Acres Solar, LLC CSG",Power Plant,0
MMWEC Simple Cycle Gas Turbine,Power Plant,64
"Cherry Valley Solar, LLC CSG",Power Plant,30
"ISM Solar Dighton 2, LLC CSG",Power Plant,0
"Incom Solar, LLC CSG",Power Plant,21
"JH Solar, LLC CSG",Power Plant,0
"Woodchuck Solar, LLC CSG",Power Plant,41
HWY 158 PV,Power Plant,0
"Dudley River 3 Solar, LLC CSG",Power Plant,18
"Dudley River 2 Solar, LLC CSG",Power Plant,16
"Dudley River Solar, LLC CSG",Power Plant,0
"Ledeaux Solar, LLC CSG",Power Plant,0
"Cohasse Solar, LLC CSG",Power Plant,0
Atchison County Wind,Power Plant,0
Thunderbird Generator (Tbird),Power Plant,0
FastSun 4 CSG,Power Plant,0
FastSun 21 CSG,Power Plant,24
Sagamore Wind,Power Plant,0
Britton Solar Energy Center,Power Plant,0
NYP-Westchester,Power Plant,98
Mount Sinai - Brooklyn,Power Plant,89
Harmony Solar,Power Plant,0
Taylor Creek Solar,Power Plant,0
NY3 Battery,Power Plant,0
SR Kersey II,Power Plant,0
SR Skylark C,Power Plant,0
"Palombo Solar, LLC CSG",Power Plant,0
"Palombo B Solar, LLC CSG",Power Plant,0
Ponderosa Wind Energy Center,Power Plant,0
Nutmeg Solar,Power Plant,12
"Brooten CSG1, LLC",Power Plant,17
"Buffalo Lake CSG1, LLC",Power Plant,0
"Lowry CSG2, LLC",Power Plant,0
"Paynesville CSG1, LLC",Power Plant,0
"Plato CSG1, LLC",Power Plant,0
"Sacred Heart CSG1, LLC",Power Plant,0
"Stewart CSG1, LLC",Power Plant,0
Isabella Wind Park,Power Plant,19
Montefiore-New Rochelle,Power Plant,100
Illumina Way SD,Power Plant,51
ATT North Watney,Power Plant,96
ATT Ventura Blvd,Power Plant,80
Allergan,Power Plant,76
Baker,Power Plant,57
CSU Long Beach,Power Plant,64
DATS,Power Plant,69
Downey,Power Plant,90
LAWRP,Power Plant,69
Long Beach Convention Center,Power Plant,98
OCSD,Power Plant,87
SOCCD,Power Plant,58
USS Solar Brick,Power Plant,10
USS Goodrich Solar,Power Plant,0
USS Sycamore Solar (CSG),Power Plant,23
Lafayette 2 - MLK Jr. Hospital (MLK),Power Plant,42
"La Chalupa, LLC",Power Plant,6
NYU Langone - Orthopedic,Power Plant,96
"IGS FE Trenton, LLC",Power Plant,91
"Scenic Hill Solar IV, LLC",Power Plant,38
Tinker,Power Plant,97
"Hydra Community Solar Garden, LLC (CSG)",Power Plant,0
Primient Loudon Plant,Power Plant,92
Crown,Power Plant,0
Fort Rock I,Power Plant,0
One Patriot,Power Plant,94
Tracy 210,Power Plant,82
Contrail Wind Farm,Power Plant,10
Southern Hills Wind Farm,Power Plant,0
Diamond Trail Wind Farm,Power Plant,0
Dunn Road Solar,Power Plant,0
North Central Bronx Hospital,Power Plant,86
Wyckoff Heights Medical Center,Power Plant,98
St. Joseph's Regional Medical Center (NJ),Power Plant,92
Jacobi Medical Center,Power Plant,100
SDM000 Clarkson Fuel Cell,Power Plant,91
NHH003 Clarkson Fuel Cell,Power Plant,90
NHH004 Winthrop Fuel Cell,Power Plant,83
Flodquist Community Solar LLC CSG,Power Plant,0
North Kern State Prison Phase II,Power Plant,16
Sheriff Road,Power Plant,81
Coyote Wind LLC,Power Plant,0
CED Peoria Solar,Power Plant,0
Bluff Point Wind Facility,Power Plant,66
Peterson Road Solar,Power Plant,0
Sampson Road Community Solar,Power Plant,0
IKEA Grand Prairie Rooftop PV System,Power Plant,91
Crittenden Solar Facility,Power Plant,0
Walton 1 Solar Facility,Power Plant,0
Walton 2 Solar Facility,Power Plant,0
BPU Solar Farm,Power Plant,0
SR Kersey,Power Plant,0
Golden Hills Solar,Power Plant,0
Higginsville Solar Farm,Power Plant,0
Mt. Jackson Solar,Power Plant,0
Port of LA Solar FiT Project,Power Plant,87
Long Ridge Energy Generation,Power Plant,98
Saluda Solar II,Power Plant,0
Odyssey Solar,Power Plant,0
Hampton Solar I,Power Plant,0
Cameron Solar II,Power Plant,0
Barnwell Solar,Power Plant,0
Crater Community Solar,Power Plant,67
Delphinus Community Solar,Power Plant,0
Hog Creek Wind Project,Power Plant,3
SR Innovation - NIKE PV,Power Plant,0
Oak Hill Solar Array,Power Plant,30
Volkman Road Solar Array Hybrid,Power Plant,0
"Great Divide Solar, LLC",Power Plant,21
"Black Eagle Solar, LLC",Power Plant,0
"Magpie Solar, LLC",Power Plant,19
Mill Creek Solar (OR),Power Plant,0
Green Beanworks B PV,Power Plant,0
Next Generation Solar Farm,Power Plant,20
Grafton PV,Power Plant,42
Barrett PV,Power Plant,12
Karankawa Wind LLC,Power Plant,32
Otter Creek Wind Farm LLC,Power Plant,0
WyEast Solar,Power Plant,0
RE Maplewood,Power Plant,0
Long Henry Solar,Power Plant,0
Westmont 400A,Power Plant,100
Westmont 400B,Power Plant,86
MDFA Devens-Saratoga,Power Plant,84
Bear Creek Solar,Power Plant,0
Bondi Solar,Power Plant,0
Mount Signal Solar Farm II,Power Plant,1
Princeton Solar Project,Power Plant,68
Arlington Outlet Hydroelectric Generator,Power Plant,0
Valfilm Wind Project,Power Plant,0
Red Pine Wind Project,Power Plant,0
IGS Solar I - BWI5,Power Plant,93
IGS Solar I - EWR5,Power Plant,99
IGS Solar I - EWR6,Power Plant,87
Equuleus Community Solar Gardens,Power Plant,1
Fallbrook Energy Storage,Power Plant,6
Top Gun Energy Storage,Power Plant,93
Smith & Wesson at Springfield MA PV,Power Plant,100
Midway Solar - TX,Power Plant,12
Sweetwater Solar,Power Plant,0
Walnut Springs Solar,Power Plant,0
Centaurus Solar - MA,Power Plant,0
Kearsarge Bellingham PV,Power Plant,0
Hecate Energy Clarke County LLC,Power Plant,0
Hecate Energy Cherrydale LLC,Power Plant,0
Cedar Creek PV,Power Plant,90
Amazon - Patterson PV,Power Plant,100
Northern Westchester Hospital,Power Plant,87
DodgeSun CSG,Power Plant,6
Johnson Solar CSG,Power Plant,0
Koppelman Sun CSG,Power Plant,0
Lindstrom Solar CSG,Power Plant,0
Rengstorf Solar CSG,Power Plant,0
St. Cloud Solar CSG,Power Plant,10
Georgia LFG Oak Grove Plant,Power Plant,0
Georgia LFG Pine Ridge Plant,Power Plant,0
Georgia LFG Richland Creek Plant,Power Plant,15
AEP Jacksonville Solar Project,Power Plant,1
Letchworth Solar Project,Power Plant,0
A.J. Mihm Generating Station,Power Plant,60
F.D. Kuester Generating Station,Power Plant,66
Georgia Power at Jakin GA PV,Power Plant,0
Canis Major Solar Farm,Power Plant,0
Ashby Duffy CSG Solar Farm,Power Plant,0
Foard City Wind,Power Plant,0
Deep Branch Farm,Power Plant,3
Pikeville Farm,Power Plant,0
"Moorings Farm 2, LLC",Power Plant,0
Essex Solar Center,Power Plant,0
Cottonwood Wind Energy Center,Power Plant,6
Canis Minor Solar Farm,Power Plant,36
Highway 56 Solar,Power Plant,1
Whitesboro Solar,Power Plant,0
Whitesboro Solar II,Power Plant,0
Latitude Solar Center,Power Plant,0
NYC-HH - CONEY ISLAND HOSPITAL,Power Plant,94
NY Times Daily Production Facility,Power Plant,98
West Boylston Community Shared Solar,Power Plant,31
The Mount Sinai Hospital,Power Plant,88
Gopher Creek Wind Farm,Power Plant,0
Valencia 1 Solar CA,Power Plant,0
One Ten Partners PV,Power Plant,6
Merced 1 PV,Power Plant,0
Madera 1 PV,Power Plant,0
"Southampton Solar, LLC",Power Plant,0
"OR Solar 5, LLC",Power Plant,0
"OR Solar 8, LLC",Power Plant,0
Coyote Ridge Community Solar,Power Plant,0
Gopher CSG,Power Plant,0
Richmond CSG,Power Plant,0
Taylors Falls CSG,Power Plant,0
Big George PV CSG,Power Plant,23
"OR Solar 6, LLC",Power Plant,0
Beacon BESS 1,Power Plant,100
SCE&G Curie CSG,Power Plant,0
SCE&G Nimitz CSG,Power Plant,24
SCE&G Springfield CSG,Power Plant,0
DG AMP Solar Coldwater,Power Plant,75
DG AMP Solar Orrville 3,Power Plant,3
DG AMP Solar Versailles,Power Plant,0
DG AMP Solar Jackson Center,Power Plant,0
Panasonic Carport Solar Hybrid,Power Plant,88
Denver Braswell PV,Power Plant,0
Foundation California Training Facility,Power Plant,92
Foundation Mann Packing,Power Plant,0
Foundation SaIinas Valley State Prison,Power Plant,1
Gaskell West 1 Solar Facility,Power Plant,2
RE Gaskell West 2 LLC,Power Plant,0
RE Gaskell West 3 LLC,Power Plant,0
RE Gaskell West 4 LLC,Power Plant,0
RE Gaskell West 5 LLC,Power Plant,0
Farmington Solar Farm,Power Plant,1
Northfield Holdco CSG,Power Plant,0
Waterford Holdco CSG,Power Plant,0
B.R. Corcoran CSG,Power Plant,0
B.R. Sartell CSG,Power Plant,0
B.R. Sauk Rapids CSG,Power Plant,0
Montgomery Winsted CSG,Power Plant,0
Palmer Solar Center,Power Plant,0
Martin Solar Center,Power Plant,0
Georgia Power at Swainsboro,Power Plant,0
IOS - MEW Phase 1,Power Plant,43
North Smithfield Solar Power 1,Power Plant,0
SR Platte Solar Farm,Power Plant,0
Vandenberg Solar Project,Power Plant,3
"CoreSite Real Estate 2972 Stender, L.P.",Power Plant,97
IGS Solar I - BWI2,Power Plant,98
IOS - ERW9,Power Plant,100
City of Lexington,Power Plant,84
Valdosta Prison,Power Plant,6
Lichtenthal,Power Plant,32
Call Farms 1,Power Plant,0
Call Farms 3,Power Plant,0
San Luis Solar Garden,Power Plant,33
Hopewell Valley High School Hybrid,Power Plant,82
CoreSite Real Estate 55 S. Market Street,Power Plant,93
"CoreSite Real Estate 1656 McCarthy, L.P.",Power Plant,89
"CoreSite Real Estate 2901 Coronado, L.P.",Power Plant,100
"SunE Feely 1 CSG, LLC",Power Plant,0
"CoreSite Real Estate 3032 Coronado, L.P.",Power Plant,99
"Cottage Grove CSG, LLC",Power Plant,0
"Fox CSG, LLC",Power Plant,5
"SunE Stolee CSG, LLC",Power Plant,0
"Wyoming 2 CSG, LLC",Power Plant,0
SL Babylon,Power Plant,34
NYU LANGONE HEALTH,Power Plant,92
Cameron Solar,Power Plant,0
Estill Solar,Power Plant,0
E-Volve Energy Holdings LLC,Power Plant,0
Wright Cuddyer CSG,Power Plant,0
Carver Gladden CSG,Power Plant,0
Adams Solar Center,Power Plant,0
Elbe Solar Center,Power Plant,0
Hampton Solar 2,Power Plant,21
CED Foster,Power Plant,0
Porter Way Community Solar Garden,Power Plant,31
ABEC #2 dba West-Star Dairy,Power Plant,0
ABEC #3 dba Lakeview Dairy,Power Plant,42
ABEC #4 dba CE&S Dairy,Power Plant,5
RJC I CSG,Power Plant,0
Huneke I CSG,Power Plant,0
Krause CSG,Power Plant,6
DG New Jersey Solar RLS Logistics,Power Plant,0
Provo Power Plant,Power Plant,84
Monroe County Sites A & B,Power Plant,6
"Monroe County Sites C, D, & E",Power Plant,0
"Bullock Solar, LLC",Power Plant,24
Marlin Solar,Power Plant,0
North Gainesville Solar,Power Plant,0
DG Camden LLC Holtec,Power Plant,96
School Sisters CSG,Power Plant,9
301 Chestnut Solar NG,Power Plant,89
Baker Point,Power Plant,0
Rosewood Solar,Power Plant,0
Swamp Fox Solar,Power Plant,0
Champion Solar,Power Plant,0
Haley Solar,Power Plant,0
Whitewright Solar,Power Plant,79
ABD Farms,Power Plant,53
Antanavica Solar,Power Plant,0
Bakatsias Solar,Power Plant,47
Bayboro Solar Farm,Power Plant,14
Estill Solar II,Power Plant,0
Gaston Solar I - SC,Power Plant,0
Leon Solar,Power Plant,0
Mustang Solar,Power Plant,62
Old Caroleen Solar Farm,Power Plant,0
Statesville Solar,Power Plant,0
Wakefield Solar,Power Plant,0
Weston Landfill Solar,Power Plant,64
Braintree Landfill Solar,Power Plant,0
GELD Solar Farm,Power Plant,5
Fort Hays State University Wind Farm,Power Plant,0
Town of Rocky Hill PV CSG,Power Plant,17
"PopeSun CSG, LLC",Power Plant,22
"CF Novel Solar CSG Gardens Five, LLC",Power Plant,0
"LeSun CSG, LLC",Power Plant,18
"CGSun, LLC Community Solar",Power Plant,25
"WrightSun CSG, LLC",Power Plant,0
"CF Novel Solar CSG Gardens Seven, LLC",Power Plant,0
DG Haverhill CSG,Power Plant,68
Good Samaritan Hospital,Power Plant,86
Fort Detrick Solar PV,Power Plant,0
Klamath Falls Solar 2 CSG,Power Plant,1
Comer Solar,Power Plant,0
DG Crystal Spring CSG,Power Plant,0
Facebook 1 Solar Energy Center,Power Plant,0
Facebook 2 Solar Energy Center,Power Plant,0
Facebook 3 Solar Energy Center,Power Plant,0
Woodline Solar,Power Plant,0
Eagle Point Solar,Power Plant,15
Bladen Solar,Power Plant,0
Falmouth Landfill Solar,Power Plant,0
Denver Metro Solar,Power Plant,0
Upland Prairie,Power Plant,0
English Farms,Power Plant,79
El Dorado Springs Solar Farm,Power Plant,0
Woodhull Hospital,Power Plant,51
The Allen Hospital,Power Plant,92
Mount Sinai Beth Israel,Power Plant,97
Veseli Community Solar Garden,Power Plant,0
New Germany Community Solar Garden,Power Plant,0
Lake Waconia Community Solar Garden,Power Plant,1
Lake Waconia IV Community Solar Garden,Power Plant,1
Zumbro Community Solar Garden,Power Plant,0
Anheuser-Busch Baldwinsville,Power Plant,0
Columbia University - Johnson Farms,Power Plant,0
Time Warner Cable Enterprises - Martino,Power Plant,0
Columbia University - Minisink,Power Plant,3
St. Lawrence University - Sutton,Power Plant,0
"Tumbleweed Solar, LLC",Power Plant,0
"Davis Lane Solar, LLC",Power Plant,0
Voyager Wind II,Power Plant,1
Voyager Wind III,Power Plant,1
Voyager Wind IV,Power Plant,1
Scandia CSG,Power Plant,0
MontSun Community Solar,Power Plant,6
WaveSun Community Solar,Power Plant,32
Independence II Solar Farm,Power Plant,48
UL Advanced Wind Turbine Test Facility,Power Plant,0
DG Foxborough Elm CSG,Power Plant,0
Town of Foxborough - Landfill (SREC II),Power Plant,1
Westmont 301,Power Plant,100
Westmont 401,Power Plant,100
Flambeau Solar Partners,Power Plant,0
Citizens Agawam Landfill Solar,Power Plant,0
Norton Landfill Solar,Power Plant,53
Tyngsborough Solar,Power Plant,0
"New Road Solar, LLC",Power Plant,30
Old Bridge Solar Farm,Power Plant,52
Raritan Solar - 53 Highway,Power Plant,6
CED Chicopee Solar,Power Plant,61
UMASS,Power Plant,78
Camden CSD Solar Array,Power Plant,0
San Luis Valley Solar Array,Power Plant,33
Vilas Solar Array,Power Plant,0
Stenner Creek Solar,Power Plant,0
Montgomery County Solar,Power Plant,79
"Heartland Divide Wind Project, LLC",Power Plant,0
NC 102 Project LLC,Power Plant,3
Techren Solar I LLC,Power Plant,2
"WED Kingstown Solar I, LLC - West",Power Plant,0
WED Stilson Solar,Power Plant,71
Cyril,Power Plant,1
Hinton,Power Plant,6
Marietta,Power Plant,0
Pine Ridge,Power Plant,0
Tuttle,Power Plant,4
CDCR (CA) - Solano State Prison,Power Plant,56
CDCR (CA) - Corcoran State Prison,Power Plant,85
CDCR (CA) - Wasco State Prison,Power Plant,0
WED Kingstown Solar I - East Array,Power Plant,0
West Moore Solar II,Power Plant,0
Dundas Solar Holdings LLC CSG,Power Plant,22
Waterville CSG Solar Holdings LLC,Power Plant,21
Kilroy Solar,Power Plant,99
West Brookfield Solar - Gilbertsville Rd,Power Plant,0
William G Mennen Sports Solar,Power Plant,84
"Chiloquin Solar, LLC",Power Plant,0
DG Tufts Science LLC CSG,Power Plant,75
DG Dighton LLC CSG,Power Plant,0
DG Tufts Knoll LLC CSG,Power Plant,76
DG Webster LLC CSG,Power Plant,39
Denison Solar Array,Power Plant,2
Turtle Creek Wind Farm LLC,Power Plant,0
Texon Hydroelectric Project,Power Plant,0
Seneca Falls Hydroelectric Project,Power Plant,0
Waterloo Hydroelectric Project,Power Plant,55
Denton Energy Center,Power Plant,0
August Wind Farm,Power Plant,53
Altair Community Solar Garden,Power Plant,0
LA3 West Baton Rouge Solar Facility,Power Plant,0
ENO Paterson Solar,Power Plant,32
Robins Air Force Base Solar,Power Plant,56
Blazing Star 2 Wind Farm,Power Plant,0
Capricornus Community Solar Garden,Power Plant,0
"Fiber Recovery, Inc.",Power Plant,100
Alafia Solar,Power Plant,0
Balm Solar,Power Plant,19
Bonnie Mine Solar,Power Plant,0
Grange Hall Solar,Power Plant,0
Lake Hancock Solar,Power Plant,0
"Cougar Solar, LLC",Power Plant,53
Whirlpool Corp-Greenville Wind Farm,Power Plant,89
Vista Energy Storage System,Power Plant,51
Carrizozo Solar,Power Plant,0
Lithia Solar,Power Plant,26
Mountain View Solar (FL),Power Plant,36
Payne Creek Solar,Power Plant,0
Peace Creek Solar,Power Plant,0
Wimauma Solar and Battery Storage,Power Plant,25
"Creston Ridge II, LLC",Power Plant,0
Scandia Community Solar Garden,Power Plant,0
RJC II Community Solar Garden,Power Plant,41
Betcher Community Solar Garden,Power Plant,0
Sherburne Community Solar,Power Plant,0
Arkwright Summit Wind Farm LLC,Power Plant,0
Wildcat Ranch Wind Project,Power Plant,0
NCSU CCUP Cogeneration Plant,Power Plant,97
NCSU Cates Cogeneration Plant,Power Plant,84
Perennial Windfarm,Power Plant,54
Pinal Central Energy Center Hybrid,Power Plant,0
Tatanka Wi,Power Plant,14
Middle Daisy,Power Plant,0
USG 1,Power Plant,29
