ref_number,property_name,state,county,city,street_number,status,request_type,restricted_address,acreage_of_property,area_of_significance,category_of_property,external_link,level_of_significance_national,level_of_significance_state,level_of_significance_local,level_of_significance_not_indicated,listed_date,other_names,property_id,district_name,address,latitude,longitude,aos_agriculture,aos_archeology,aos_architecture,aos_community_planning_and_development,aos_conservation,aos_landscape_architecture,aos_social_history,aos_european,aos_archeology_prehistoric,aos_ethnic_heritage_native_american,aos_exploration_settlement,aos_entertainment_recreation,aos_transportation,aos_historic_non_aboriginal,aos_art,aos_black,aos_commerce,aos_military,aos_education,aos_politics_government,aos_industry,aos_engineering,aos_religion,aos_historic_aboriginal,aos_prehistoric,aos_economics,aos_ethnic_heritage_black,aos_other,aos_ethnic_heritage_european,aos_ethnic_heritage_other_ethnic,aos_ethnic_heritage,aos_literature,aos_maritime_history,aos_native_american,aos_science,aos_invention,aos_law,aos_communications,aos_archeology_historic_non_aboriginal,aos_performing_arts,aos_hispanic,aos_archeology_historic_aboriginal,aos_health_medicine,aos_asian,aos_other_ethnic,aos_ethnic_heritage_hispanic,aos_philosophy,aos_ethnic_heritage_asian,aos_pacific_islander,aos_na
00000058,Manheim Borough Historic District,Pennsylvania,Lancaster,Manheim Borough,"Roughly bounded by Colebrook, Laurel, Fuller Dr., And Fulton Sts.",Listed,Single,FALSE,230,Commerce; Industry; Architecture,District,https://catalog.archives.gov/id/71996371,FALSE,FALSE,TRUE,FALSE,2000-02-04,NA,00000058,Manheim Borough,"Manheim Borough Historic District, Manheim Borough, Pennsylvania",40.1631,-76.394386,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84003446,Marietta Historic District,Pennsylvania,Lancaster,Marietta,"Bounded by Waterford Ave., Clay, Prospect, and Front Sts.",Listed,Single,FALSE,83,Industry; Architecture,District,https://catalog.archives.gov/id/71996386,FALSE,FALSE,TRUE,FALSE,1984-08-17,See Also:Marietta Historic District,84003446,Marietta,"Marietta Historic District, Marietta, Pennsylvania",40.05622,-76.557215,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90001402,N. Shippen-Tobacco Avenue Historic District,Pennsylvania,Lancaster,Lancaster,"Roughly bounded by N. Shippen St., Tobacco Ave., and E. Fulton St.",Listed,Multiple,FALSE,1.5,Industry; Architecture,District,https://catalog.archives.gov/id/71993281,FALSE,FALSE,TRUE,FALSE,1990-09-21,A.B. Hess Cigar Factory;R.H. Brubaker Tobacco Warehouse;Fran,90001402,N. Shippen-Tobacco Avenue,"N. Shippen-Tobacco Avenue Historic District, Lancaster, Pennsylvania",40.042534996775,-76.298842037236,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89001206,North Charlotte Street Historic District,Pennsylvania,Lancaster,Lancaster,Roughly N. Charlotte St. from Harrisburg Pike to W. James St.,Listed,Single,FALSE,2.8,Engineering; Architecture,District,https://catalog.archives.gov/id/71996135,FALSE,FALSE,TRUE,FALSE,1989-08-31,NA,89001206,North Charlotte Street,"North Charlotte Street Historic District, Lancaster, Pennsylvania",40.046692116648,-76.314187168264,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89001054,North Prince Street Historic District,Pennsylvania,Lancaster,Lancaster,Roughly N. Prince St. and W. Lemon St.,Listed,Single,FALSE,2,Industry; Agriculture; Architecture,District,https://catalog.archives.gov/id/71996133,FALSE,FALSE,TRUE,FALSE,1989-08-18,NA,89001054,North Prince Street,"North Prince Street Historic District, Lancaster, Pennsylvania",40.044100987746,-76.308900991599,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86000464,Northeast Lancaster Township Historic District,Pennsylvania,Lancaster,Lancaster,"Roughly bounded by Marietta, Race, and Wheatland Aves., and Wilson Dr.",Listed,Single,FALSE,146.9,Community Planning And Development; Architecture,District,https://catalog.archives.gov/id/71996141,FALSE,FALSE,TRUE,FALSE,1986-03-20,School Lane Hills;See Also:Wheatland,86000464,Northeast Lancaster Township,"Northeast Lancaster Township Historic District, Lancaster, Pennsylvania",40.041374983285,-76.336563032277,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83002258,Strasburg Historic District,Pennsylvania,Lancaster,Strasburg,"E. and W. Main, W. Miller, S. Decatur Sts.",Listed,Single,FALSE,68,Transportation; Architecture,District,https://catalog.archives.gov/id/71998295,FALSE,FALSE,TRUE,FALSE,1983-03-03,NA,83002258,Strasburg,"Strasburg Historic District, Strasburg, Pennsylvania",39.988566017704,-76.179885983551,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90001406,Teller Brothers-Reed Tobacco Historic District,Pennsylvania,Lancaster,Lancaster,"N. Prince St., 200 block, E side",Listed,Multiple,FALSE,1,Industry; Architecture,District,https://catalog.archives.gov/id/71993289,FALSE,FALSE,TRUE,FALSE,1990-09-21,NA,90001406,Teller Brothers-Reed Tobacco,"Teller Brothers-Reed Tobacco Historic District, Lancaster, Pennsylvania",40.0455121,-76.2905273,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000056,North Hill Historic District,Pennsylvania,Lawrence,New Castle,"Roughly Delaware, Neshannock, Hill Crest and Fairmont Aves., and Crescent, Falls, Beaver, Jefferson and Mercer Sts.",Listed,Single,FALSE,450,Industry; Architecture,District,https://catalog.archives.gov/id/71996703,FALSE,FALSE,TRUE,FALSE,2000-02-18,NA,00000056,North Hill,"North Hill Historic District, New Castle, Pennsylvania",40.187108996411,-76.846160030386,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79002285,Annville Historic District,Pennsylvania,Lebanon,Annville,"Roughly bounded by Quittapahilla Creek, Lebanon, Saylor and Marshall Sts.",Listed,Single,FALSE,88.5,Exploration/Settlement; Architecture,District,https://catalog.archives.gov/id/71994531,FALSE,TRUE,FALSE,FALSE,1979-04-30,NA,79002285,Annville,"Annville Historic District, Annville, Pennsylvania",40.327377996524,-76.515138512323,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
