latitude,longitude,name,type,popup
41.698618,-83.521458,Mobis Toledo Assembly Plant,EV Facility,"<strong>Mobis Toledo Assembly Plant</strong><br/>Hyundai Mobis<br/>Toledo, OH<br/>Light-Duty (Class 1-2)"
42.24113,-88.87316,Belvidere Assembly Plant,EV Facility,"<strong>Belvidere Assembly Plant</strong><br/>Stellantis<br/>Belvidere, IL<br/>Light-Duty (Class 1-2)"
39.14167,-94.61273,GM Fairfax Assembly Plant,EV Facility,"<strong>GM Fairfax Assembly Plant</strong><br/>General Motors<br/>Kansas City, KS<br/>Light-Duty (Class 1-2)"
40.518091,-88.995074,Normal Factory,EV Facility,"<strong>Normal Factory</strong><br/>Rivian<br/>Normal, IL<br/>Multiple Classes"
38.300335,-87.553379,Toyota Motor Manufacturing Indiana,EV Facility,"<strong>Toyota Motor Manufacturing Indiana</strong><br/>Toyota<br/>Princeton, IN<br/>Light-Duty (Class 1-2)"
30.264979,-97.746598,Gigafactory 5,EV Facility,"<strong>Gigafactory 5</strong><br/>Tesla<br/>Austin, TX<br/>Multiple Classes"
37.545665,-121.985069,Tesla Fremont Factory,EV Facility,"<strong>Tesla Fremont Factory</strong><br/>Tesla<br/>Fremont, CA<br/>Light-Duty (Class 1-2)"
35.464095,-89.402431000000007,BlueOval Tennessee Truck Plant,EV Facility,"<strong>BlueOval Tennessee Truck Plant</strong><br/>Ford<br/>Stanton, TN<br/>Light-Duty (Class 1-2)"
30.264979,-97.746598,Gigafactory 5,EV Facility,"<strong>Gigafactory 5</strong><br/>Tesla<br/>Austin, TX<br/>Multiple Classes"
35.226761,-80.845876,Charlotte Microfactory,EV Facility,"<strong>Charlotte Microfactory</strong><br/>Arrival<br/>Charlotte, NC<br/>Multiple Classes"
34.941355,-81.0300374,Rock Hill Microfactory,EV Facility,"<strong>Rock Hill Microfactory</strong><br/>Arrival<br/>Rock Hill, SC<br/>Multiple Classes"
42.307175,-83.161995,Rouge Electric Vehicle Center,EV Facility,"<strong>Rouge Electric Vehicle Center</strong><br/>Ford<br/>Dearborn, MI<br/>Light-Duty (Class 1-2)"
33.656194,-83.718567,Georgia Manufacturing Plant,EV Facility,"<strong>Georgia Manufacturing Plant</strong><br/>Rivian<br/>Social Circle, GA<br/>Light-Duty (Class 1-2)"
37.261928,-80.145252,Roanoke Valley Operations,EV Facility,"<strong>Roanoke Valley Operations</strong><br/>Mack Trucks<br/>Salem, VA<br/>Medium-Duty (Class 3-6)"
38.25752,-84.547617,Toyota Motor Manufacturing Kentucky,EV Facility,"<strong>Toyota Motor Manufacturing Kentucky</strong><br/>Toyota<br/>Georgetown, KY<br/>Light-Duty (Class 1-2)"
