Database,"Source ID",Year,"Outlet ID",Title,"Outlet Type",State,City,County,"Ethnic Media","SPA Full Member","Owner ID","Owner Name","Owner Type",Website,Frequency,"Total Circulation","Days Published","Average Paid Circulation","Average Free Circulation","Circulation Source","EP Audit Source","Type of Station",Group,AM/FM,"Original Content Station"
Newspaper,NP6345-2014,2014,NP6345,"Ada News",,Oklahoma,Ada,Pontotoc,No,No,OW0067,"Community Newspaper Holdings Inc (CNHI)",Investment,,D,6200,5,,,,,,,,
Newspaper,NP6345-2016,2016,NP6345,"Ada News",,Oklahoma,Ada,Pontotoc,No,No,OW0067,"Community Newspaper Holdings Inc (CNHI)",Investment,,D,7879,5,,,,,,,,
Newspaper,NP6345-2018,2018,NP6345,"Ada News",,Oklahoma,Ada,Pontotoc,No,No,OW4926,"Raycom Media Inc.",Investment,,D,9577,5,9577,,EP,Sworn/Estimate/Non-Audited,,,,
Newspaper,NP6345-2020,2020,NP6345,"Ada News",,Oklahoma,Ada,Pontotoc,No,No,OW5092,CNHI,Investment,,D,9577,5,,,,,,,,
Newspaper,NP9438-2018,2018,NP9438,"Adair County Community Voice",,Kentucky,Columbia,Adair,No,No,OW4932,,,,W,3200,,3200,,EP,Sworn/Estimate/Non-Audited,,,,
Newspaper,NP9438-2020,2020,NP9438,"Adair County Community Voice",,Kentucky,Columbia,Adair,No,No,OW5127,"Burton, Sharon",Private,,W,3200,,,,,,,,,
Newspaper,NP1576-2004,2004,NP1576,"Adair County Free Press",,Iowa,Greenfield,Adair,No,Yes,OW0720,"Sidey Linda",,,W,2350,1,,,,,,,,
Newspaper,NP1576-2014,2014,NP1576,"Adair County Free Press",,Iowa,Greenfield,Adair,No,Yes,OW0720,"Sidey Linda",,,W,2209,1,,,,,,,,
Newspaper,NP1576-2016,2016,NP1576,"Adair County Free Press",,Iowa,Greenfield,Adair,No,Yes,OW0720,"Sidey Linda",,,W,2000,1,,,,,,,,
Newspaper,NP1576-2018,2018,NP1576,"Adair County Free Press",,Iowa,Greenfield,Adair,No,Yes,OW0754,"Shaw Media",Private,,W,2000,1,2000,,EP,Sworn/Estimate/Non-Audited,,,,
Newspaper,NP1576-2020,2020,NP1576,"Adair County Free Press",,Iowa,Greenfield,Adair,No,No,OW0754,"Shaw Media",Private,,W,2000,1,,,,,,,,
Newspaper,NP1577-2004,2004,NP1577,"Adair News",,Iowa,Adair,Adair,No,Yes,OW0721,"Littler William",,,W,1400,1,,,,,,,,
Newspaper,NP1577-2014,2014,NP1577,"Adair News",,Iowa,Adair,Adair,No,Yes,OW0721,"Littler William",,,W,1124,1,,,,,,,,
Newspaper,NP1577-2016,2016,NP1577,"Adair News",,Iowa,Adair,Adair,No,Yes,OW0721,"Littler William",,,W,1124,1,,,,,,,,
Newspaper,NP1577-2018,2018,NP1577,"Adair News",,Iowa,Adair,Adair,No,Yes,OW0721,"Littler William",Private,,W,1124,1,,,EP,,,,,
Newspaper,NP1577-2020,2020,NP1577,"Adair News",,Iowa,Adair,Adair,No,No,OW0721,"Littler William",Private,,W,1124,1,,,,,,,,
