name,institution_type,avg_rad,no2,impervious_surface
"337. Vistra/TXU Energy Corporate Office, Sierra Drive, Irving, TX, USA",Fortune 500 HQ,94.99084,5.243418964653262e-5,82
"479. Hd Supply Holdings Inc,  Atlanta, GA, USA",Fortune 500 HQ,57.121666,2.9862383359032913e-5,74
"478. Realogy Holdings Corp., Park Avenue, Madison, NJ, USA",Fortune 500 HQ,27.9025,5.5045681454576455e-5,100
"477. Clorox Co, Broadway, Oakland, CA, USA",Fortune 500 HQ,113.083336,4.6307063968140927e-5,89
"476. Polaris Industries Inc, Highway 55, Medina, MN, USA",Fortune 500 HQ,12.74,3.225112318137297e-5,99
"475. Booz Allen Hamilton Inc, , McLean, VA, USA",Fortune 500 HQ,160.11166,3.825812524956197e-5,92
"474. L3Harris Technologies: Communication Systems-West, 2200 West, Salt Lake City, UT, USA",Fortune 500 HQ,74.214165,4.0977493704566606e-5,90
"473. Ralph Lauren New York, NY, USA",Fortune 500 HQ,52.7075,1.0035571628393234e-4,68
"472. Analog Devices, Technology Way, Norwood, MA, USA",Fortune 500 HQ,47.439167,3.71686401709126e-5,100
"471. Post Holdings Inc, South Hanley Road, St. Louis, MO, USA",Fortune 500 HQ,50.735832,4.717377712455083e-5,94
"470. S and P Global, New York, NY, USA",Fortune 500 HQ,328.6025,1.0035571628393234e-4,100
"469. Intercontinental Exchange, New Northside Drive, Atlanta, GA, USA",Fortune 500 HQ,38.611668,3.387357874443377e-5,80
"478. Ameren Corporation,  St. Louis, MO, USA",Fortune 500 HQ,102.278336,5.4413799194717365e-5,92
"467. Franklin Templeton Investments, San Mateo, CA, USA",Fortune 500 HQ,90.85084,3.9108585779668945e-5,87
"166. iHeartMedia San Antonio, San Antonio, TX, USA",Fortune 500 HQ,59.7125,3.2523850170244236e-5,100
"465. NCR Global, Atlanta, GA, USA",Fortune 500 HQ,139.6825,4.057276822228654e-5,100
"464. Beacon Roofing Supply Inc, Huntmar Park Drive, Herndon, VA, USA",Fortune 500 HQ,34.926666,3.329498024238125e-5,72
"463. ABM Industries, New York, NY, USA",Fortune 500 HQ,158.49083,1.1137873414493032e-4,99
"336. Mutual of Omaha® Insurance Co., Dodge Street, Omaha, NE, USA",Fortune 500 HQ,99.89917,5.436600904057143e-5,98
"462. M&T Bank Buffalo, NY, USA",Fortune 500 HQ,19.305,2.7098321552933206e-5,52
"461. HESS New York, NY, USA",Fortune 500 HQ,158.49083,1.1137873414493032e-4,99
"460. Advanced Micro Devices, Augustine Drive, Santa Clara, CA, USA",Fortune 500 HQ,100.415,4.416408532822157e-5,95
335. AGCO,Fortune 500 HQ,40.078335,3.113620646983103e-5,88
