"Company","City","State","County","Latitude","Longitude","Q4.2025.Median.Home.Price","Population"
"Starbucks","Seattle","Washington","King",47.610021,-122.342583,903970,"7,705,281"
"NUCOR","Charlotte","North Carolina","Mecklenburg",35.2270869,-80.8431267,471910,"10,439,388"
"Dollar General Corporate Headquarters",NA,"Tennessee","Davidson",36.3090261,-86.699065,452700,"6,910,840"
"MACY'S","Cincinnati","Ohio","Hamilton",39.1031182,-84.5120196,283180,"11,799,448"
"U.S. BANCORP","Minneapolis","Minnesota","Hennepin",44.977753,-93.2650108,407520,"5,706,494"
"Mondelez International",NA,"Illinois","Lake",42.1711365,-87.8445119,392350,"12,812,508"
"Kraft Heinz Innovation Center",NA,"Pennsylvania","Allegheny",40.6592545,-80.100283,254090,"13,002,700"
"Raytheon Company",NA,"Massachusetts","Middlesex",42.6378861,-71.2451602,793120,"7,029,917"
"PBF Energy",NA,"New Jersey","Morris",40.8474943,-74.4546895,677650,"9,288,994"
"INTL FCStone","New York","New York","New York",40.7552112,-73.9801333,1172110,"20,201,249"
"Northwestern Mutual","Milwaukee","Wisconsin","Milwaukee",43.040905,-87.901114,270080,"5,893,718"
"Philip Morris International Inc","New York","New York","New York",40.7518892,-73.9782981,1172110,"20,201,249"
"Arrow Electronics","Centennial","Colorado","Arapahoe",39.5814958,-104.8822406,593960,"5,773,714"
"Northrop Grumman","Falls Church","Virginia","Fairfax",38.8671114,-77.2148893,782680,"8,631,393"
"Rite Aid",NA,"Pennsylvania","Cumberland",40.2401756,-76.9353966,326060,"13,002,700"
"TRAVELERS  New York",NA,"New York","Suffolk",40.7736489,-73.4157247,663980,"20,201,249"
"Micron Technology","Boise","Idaho","Ada",43.6150186,-116.2023137,556040,"1,839,106"
"Twenty-First Century Fox","New York","New York","New York",40.7127753,-74.0059728,1172110,"20,201,249"
"Abbott Laboratories",NA,"Illinois","Lake",42.3008372,-87.8944668,392350,"12,812,508"
"Hewlett Packard Enterprise","Palo Alto","California","Santa Clara",37.4418834,-122.1430195,1558540,"39,538,223"
"USAA","San Antonio","Texas","Bexar",29.4241219,-98.4936282,289900,"29,145,505"
"Coca-Cola","Atlanta","Georgia","Fulton",33.7489954,-84.3879824,514220,"10,711,908"
"Progressive",NA,"Ohio","Cuyahoga",41.5519952,-81.4392828,225250,"11,799,448"
"Capital One Financial",NA,"Virginia","Fairfax",38.9338676,-77.1772604,782680,"8,631,393"
"CHS",NA,"Minnesota","Dakota",44.8480218,-93.0427153,400830,"5,706,494"
"ABBVIE",NA,"Illinois","Lake",42.325578,-87.8411818,392350,"12,812,508"
"3M","Saint Paul","Minnesota","Ramsey",44.9537029,-93.0899578,343940,"5,706,494"
"Plains GP holdings","Houston","Texas","Harris",29.7604267,-95.3698028,306470,"29,145,505"
"Exelon","Chicago","Illinois","Cook",41.8781136,-87.6297982,357630,"12,812,508"
"General Dynamics","Falls Church","Virginia",NA,38.882334,-77.1710914,NA,"8,631,393"
"Publix Super Markets","Lakeland","Florida","Polk",28.0394654,-81.9498042,302500,"21,538,187"
"NIKE","Beaverton","Oregon","Washington",45.4888761,-122.8013771,621730,"4,237,256"
"Enterprise Products Partners","Houston","Texas","Harris",29.7604267,-95.3698028,306470,"29,145,505"
"Tech Data","Clearwater","Florida","Pinellas",27.9658533,-82.8001026,400470,"21,538,187"
"DEERE","Moline","Illinois","Rock Island",41.5067003,-90.5151342,161500,"12,812,508"
"ConocoPhillips","Houston","Texas","Harris",29.7604267,-95.3698028,306470,"29,145,505"
"TJX","Framingham","Massachusetts","Middlesex",42.279286,-71.4161565,793120,"7,029,917"
"Massachusetts Mutual Life Insurance","Springfield","Massachusetts","Hampden",42.1014831,-72.589811,344760,"7,029,917"
"World Fuel Services","Miami","Florida","Miami-Dade",25.7616798,-80.1917902,555610,"21,538,187"
"ALLSTATE",NA,"Illinois","Cook",42.1275267,-87.8289548,357630,"12,812,508"
"Oracle ","Redwood City","California","San Mateo",37.4852152,-122.2363548,1601600,"39,538,223"
"Tyson Foods","Springdale","Arkansas","Washington",36.1867442,-94.1288141,363520,"3,011,524"
"TIAA","New York","New York","New York",40.7127753,-74.0059728,1172110,"20,201,249"
"United Continental Holdings","Chicago","Illinois","Cook",41.8781136,-87.6297982,357630,"12,812,508"
"Honeywell International",NA,"New Jersey","Morris",40.8395922,-74.4818698,677650,"9,288,994"
"Merck Kenilworth",NA,"New Jersey","Union",40.6764911,-74.2907032,647330,"9,288,994"
"Liberty Mutual Insurance Group","Boston","Massachusetts","Suffolk",42.3600825,-71.0588801,739680,"7,029,917"
"Best Buy",NA,"Minnesota","Hennepin",44.8832982,-93.2830021,407520,"5,706,494"
"Nationwide","Columbus","Ohio","Franklin",39.9611755,-82.9987942,327270,"11,799,448"
"American Express","New York","New York","New York",40.7127753,-74.0059728,1172110,"20,201,249"
"New York Life Insurance","New York","New York","New York",40.7127753,-74.0059728,1172110,"20,201,249"
"Charter Communications","Stamford","Connecticut","Western Connecticut Planning Region",41.0534302,-73.5387341,NA,"3,605,944"
"Delta Air Lines","Atlanta","Georgia","Fulton",33.7489954,-84.3879824,514220,"10,711,908"
"American Airlines Group","Fort Worth","Texas","Tarrant",32.7554883,-97.3307658,350700,"29,145,505"
"HCA Healthcare","Nashville","Tennessee","Davidson",36.1626638,-86.7816016,452700,"6,910,840"
"AIG","New York","New York","New York",40.7127753,-74.0059728,1172110,"20,201,249"
"Cigna",NA,"Connecticut","Capitol Planning Region",41.826488,-72.7300945,NA,"3,605,944"
"CISCO Systems","San Jose","California","Santa Clara",37.3382082,-121.8863286,1558540,"39,538,223"
"Morgan Stanley ","New York","New York","New York",40.7599978,-73.9854317,1172110,"20,201,249"
"Goldman Sachs Group","New York","New York","New York",40.7127753,-74.0059728,1172110,"20,201,249"
"Pfizer","New York","New York","New York",40.7127753,-74.0059728,1172110,"20,201,249"
"Lockheed Martin","Bethesda","Maryland","Montgomery",38.984652,-77.0947092,680160,"6,177,224"
"Energy Transfer","Dallas","Texas","Dallas",32.7766642,-96.7969879,329370,"29,145,505"
"Caterpillar",NA,"Illinois","Lake",42.1711365,-87.8445119,392350,"12,812,508"
"Facebook",NA,"California","San Mateo",37.4529598,-122.1817252,1601600,"39,538,223"
"Humana","Louisville","Kentucky","Jefferson",38.2526647,-85.7584557,266760,"4,505,836"
"HP","Palo Alto","California","Santa Clara",37.4418834,-122.1430195,1558540,"39,538,223"
"SYSCO","Houston","Texas","Harris",29.7604267,-95.3698028,306470,"29,145,505"
"Albertsons","Boise","Idaho","Ada",43.6150186,-116.2023137,556040,"1,839,106"
"Centene","Saint Louis","Missouri",NA,38.6270025,-90.1994042,NA,"6,154,913"
"Prudential Financial","Newark","New Jersey","Essex",40.7335424,-74.1710255,612980,"9,288,994"
"Archer Daniels Midland","Chicago","Illinois","Cook",41.8781136,-87.6297982,357630,"12,812,508"
"Pepsico","New York","New York","New York",40.7127753,-74.0059728,1172110,"20,201,249"
"Fedex","Memphis","Tennessee","Shelby",35.1495343,-90.0489801,292520,"6,910,840"
"United Technologies",NA,"Connecticut","Capitol Planning Region",41.7360305,-72.795027,NA,"3,605,944"
"Procter and Gamble","Cincinnati","Ohio","Hamilton",39.1031182,-84.5120196,283180,"11,799,448"
"MetLife","New York","New York","New York",40.7127753,-74.0059728,1172110,"20,201,249"
"INTEL","Santa Clara","California","Santa Clara",37.3541079,-121.9552356,1558540,"39,538,223"
"Lowes",NA,"North Carolina","Iredell",35.5859146,-80.8081413,376430,"10,439,388"
"United Parcel Service","Atlanta","Georgia","Fulton",33.7489954,-84.3879824,514220,"10,711,908"
"Freddie Mac",NA,"Virginia","Fairfax",38.9338676,-77.1772604,782680,"8,631,393"
"Target","Minneapolis","Minnesota","Hennepin",44.9748915,-93.2743017,407520,"5,706,494"
"IBM",NA,"New York","Westchester",41.1135751,-73.7160522,732670,"20,201,249"
"Johnson And Johnson","New Brunswick","New Jersey","Middlesex",40.4993693,-74.4419126,549800,"9,288,994"
"State Farm Insurance","Bloomington","Illinois","McLean",40.4771561,-88.9548523,239350,"12,812,508"
"DuPont De Nemours  ",NA,"Delaware","New Castle",39.7828904,-75.5671468,391290,"989,948"
"Dell Technologies ","Round Rock","Texas","Williamson",30.4883856,-97.6704209,466650,"29,145,505"
"Anthem","Indianapolis","Indiana","Marion",39.76462,-86.15301,250140,"6,785,528"
"Comcast","Philadelphia","Pennsylvania","Philadelphia",39.9549688,-75.168451,266610,"13,002,700"
"Marathon Petrolium","Findlay","Ohio","Hancock",41.04422,-83.6499321,247240,"11,799,448"
"Citigroup","New York","New York","New York",40.7127753,-74.0059728,1172110,"20,201,249"
"Wells Fargo","San Francisco","California",NA,37.7749295,-122.4194155,NA,"39,538,223"
"Boeing","Chicago","Illinois","Cook",41.8781136,-87.6297982,357630,"12,812,508"
"Home Depot","Atlanta","Georgia","Fulton",33.7489954,-84.3879824,514220,"10,711,908"
"Microsoft",NA,"Washington","King",47.6739881,-122.121512,903970,"7,705,281"
"Bank of America","Charlotte","North Carolina","Mecklenburg",35.2270869,-80.8431267,471910,"10,439,388"
"Valero Technology","San Antonio","Texas","Bexar",29.4241219,-98.4936282,289900,"29,145,505"
"Phillips","Houston","Texas","Harris",29.7604267,-95.3698028,306470,"29,145,505"
"Fannie Mae","Washington","District of Columbia",NA,38.9071923,-77.0368707,NA,"689,545"
"General Electric","Boston","Massachusetts","Suffolk",42.3600825,-71.0588801,739680,"7,029,917"
"Kroger","Cincinnati","Ohio","Hamilton",39.1031182,-84.5120196,283180,"11,799,448"
"Verizon Communication","New York","New York","New York",40.7127753,-74.0059728,1172110,"20,201,249"
"JP Morgan","New York","New York","New York",40.7127753,-74.0059728,1172110,"20,201,249"
"Walgreens Boots Alliance",NA,"Illinois","Lake",42.1711365,-87.8445119,392350,"12,812,508"
"Cardinal Health","Dublin","Ohio","Franklin",40.0992294,-83.1140771,327270,"11,799,448"
"Alphabet","Mountain View","California","Santa Clara",37.3860517,-122.0838511,1558540,"39,538,223"
"Costco Wholesale",NA,"Washington","King",47.5301011,-122.0326191,903970,"7,705,281"
"General Motors","Detroit","Michigan","Wayne",42.331427,-83.0457538,206910,"10,077,331"
"Exxon Mobil","Irving","Texas","Dallas",32.8140177,-96.9488945,329370,"29,145,505"
"McKesson","Irving","Texas","Dallas",32.8140177,-96.9488945,329370,"29,145,505"
"Ford Motor",NA,"Michigan","Wayne",42.3222599,-83.1763145,206910,"10,077,331"
"Chevron",NA,"California","Contra Costa",37.7799273,-121.9780153,887170,"39,538,223"
"Amerisource Bergen Drug Corporation Chesterbrook","Tredyffrin Township","Pennsylvania","Chester",40.0686079,-75.4683046,566540,"13,002,700"
"AT&T  ","Dallas","Texas","Dallas",32.8687682,-96.7692323,329370,"29,145,505"
"CVS Health ","Woonsocket","Rhode Island","Providence",41.9914346,-71.4889544,444090,"1,097,379"
"UnitedHealth Group",NA,"Minnesota","Hennepin",44.9211836,-93.4687489,407520,"5,706,494"
"Amazon","Seattle","Washington","King",47.6062095,-122.3320708,903970,"7,705,281"
"Berkshire Hathaway INC.","Omaha","Nebraska","Douglas",41.2565369,-95.9345034,300310,"1,961,504"
"Apple","Cupertino","California","Santa Clara",37.3229978,-122.0321823,1558540,"39,538,223"
"Walmart","Bentonville","Arkansas","Benton",36.3728538,-94.2088172,403390,"3,011,524"
NA,NA,"Alaska",NA,NA,NA,NA,"733,391"
NA,NA,"Hawaii",NA,NA,NA,NA,"1,455,271"
NA,NA,"Maine",NA,NA,NA,NA,"1,362,359"
NA,NA,"Mississippi",NA,NA,NA,NA,"2,961,279"
NA,NA,"Montana",NA,NA,NA,NA,"1,084,225"
NA,NA,"New Hampshire",NA,NA,NA,NA,"1,377,529"
NA,NA,"New Mexico",NA,NA,NA,NA,"2,117,522"
NA,NA,"North Dakota",NA,NA,NA,NA,"779,094"
NA,NA,"South Carolina",NA,NA,NA,NA,"5,118,425"
NA,NA,"South Dakota",NA,NA,NA,NA,"886,667"
NA,NA,"Vermont",NA,NA,NA,NA,"643,077"
NA,NA,"West Virginia",NA,NA,NA,NA,"1,793,716"
NA,NA,"Wyoming",NA,NA,NA,NA,"576,851"
