"Company","City","State","County","Latitude","Longitude","Q4.2025.Median.Home.Price","Population"
"FirstEnergy Corp.","Akron","Ohio","Summit",41.083384,-81.5183258,241300,"11,799,448"
"LKQ ","Chicago","Illinois","Cook",41.8781136,-87.6297982,357630,"12,812,508"
"J.C. Penney","Plano","Texas","Collin",33.0198431,-96.6988856,541940,"29,145,505"
"CSX Corporation","Jacksonville","Florida","Duval",30.3245211,-81.6640579,339790,"21,538,187"
"Consolidated Edison Inc","New York","New York","New York",40.7277719,-73.9728317,1172110,"20,201,249"
"Bed Bath & Beyond","New York","New York","New York",40.7726316,-73.9818792,1172110,"20,201,249"
"Murphy USA","El Dorado","Arkansas","Union",33.20763,-92.6662674,124330,"3,011,524"
"ONEOK Field","Tulsa","Oklahoma","Tulsa",36.1604414,-95.9890152,268610,"3,959,353"
"Edison International",NA,"California","Los Angeles",34.0540475,-118.0806461,883230,"39,538,223"
"Global Partners LP","Waltham","Massachusetts","Middlesex",42.3547248,-71.2624797,793120,"7,029,917"
"Discover Financial Services",NA,"Illinois","Lake",42.1567624,-87.8901097,392350,"12,812,508"
"VF","Greensboro","North Carolina","Guilford",36.0726354,-79.7919754,316460,"10,439,388"
"Reinsurance Group of America Inc.",NA,"Missouri","St. Louis",38.661306,-90.56653,312860,"6,154,913"
"Core-Mark Holding","South San Francisco","California","San Mateo",37.654656,-122.4077498,1601600,"39,538,223"
"Ameriprise Financial -  Minneapolis","Minneapolis","Minnesota","Hennepin",44.975179,-93.2691191,407520,"5,706,494"
"Viacom","New York","New York","New York",40.7579353,-73.9861885,1172110,"20,201,249"
"State Street Corporation","Boston","Massachusetts","Suffolk",42.3527258,-71.0584443,739680,"7,029,917"
"BB and T Corp Winston-Salem","Winston-Salem","North Carolina","Forsyth",36.0998596,-80.244216,302120,"10,439,388"
"BJ's Wholesale Club",NA,"Massachusetts","Worcester",42.2695216,-71.6161294,484170,"7,029,917"
"Guardian Life Ins. Co. of America","New York","New York","New York",40.7127753,-74.0059728,1172110,"20,201,249"
"Newell Brands Hoboken",NA,"New Jersey","Hudson",40.7386606,-74.0277171,610440,"9,288,994"
"Henry Schein Inc",NA,"New York","Suffolk",40.7677654,-73.4175771,663980,"20,201,249"
"L Brands OH",NA,"Ohio","Franklin",39.9789437,-82.779035,327270,"11,799,448"
"Salesforce.com San Francisco","San Francisco","California",NA,37.7894338,-122.3964928,NA,"39,538,223"
"ADP Roseland",NA,"New Jersey","Essex",40.8155809,-74.31007,612980,"9,288,994"
"Dominion Energy Richmond","Richmond","Virginia",NA,37.541585,-77.437031,NA,"8,631,393"
"Anadarko","The Woodlands","Texas","Montgomery",30.1658207,-95.4612625,368940,"29,145,505"
"Alcoa Corporation","Pittsburgh","Pennsylvania","Allegheny",40.4477654,-80.0011301,254090,"13,002,700"
"Biogen","Cambridge","Massachusetts","Middlesex",42.3662897,-71.0857637,793120,"7,029,917"
"Kellogg","Battle Creek","Michigan","Calhoun",42.3523378,-85.2396898,183040,"10,077,331"
"Stryker","Kalamazoo","Michigan","Kalamazoo",42.2428207,-85.5553397,274280,"10,077,331"
"Dish Network Englewood","Englewood","Colorado","Douglas",39.54598,-104.856233,748570,"5,773,714"
"Estee Lauder New York","New York","New York","New York",40.7623565,-73.9693612,1172110,"20,201,249"
"Las Vegas Sands Corp Las Vegas","Las Vegas","Nevada","Clark",36.0894731,-115.1674317,457490,"3,104,614"
"Textron","Providence","Rhode Island","Providence",41.8249766,-71.4089253,444090,"1,097,379"
"Stanley black & decker","New Britain","Connecticut","Capitol Planning Region",41.677591,-72.7691948,NA,"3,605,944"
"Arconic New York","New York","New York","New York",40.7127753,-74.0059728,1172110,"20,201,249"
"Loews Regency New York","New York","New York","New York",40.7645507,-73.969144,1172110,"20,201,249"
"Qurate Retail Englewood","Englewood","Colorado","Arapahoe",39.6477653,-104.9877597,593960,"5,773,714"
"Kinder Morgan","Houston","Texas","Harris",29.7580033,-95.3676218,306470,"29,145,505"
"Community Health Systems Franklin","Franklin","Tennessee","Williamson",35.9250637,-86.8688899,888220,"6,910,840"
