"facility_name","address","city","state","zip","county","lat","long","status","operator_name","mw","sizerank","community_pushback","mw_clean","local_gen_mw","pct_consumed","local_mw_capacity","pct_consumed_capped"
"Project Oranger (WHL Dallas 45 LLC)","201 Sunrise Rd","Lancaster","TX","75146","Dallas",32.57294,-96.6993,"Proposed",NA,"252","Hyperscale (100-999 MW)","Unknown",252,783692.800000002,2.53533879973841,9939.50000000002,2.53533879973841
"QTS Wilmer  (DFW2 and DC1)","1341 Sunrise Rd","Lancaster","TX","75146","Dallas",32.580692,-96.70294,"Expanding",NA,NA,"Unknown","Unknown",0,784732.000000002,0,9640.30000000002,0
"Digital Realty Data Center","2501 State Hwy 121 #400D","Lewisville","TX","75067","Denton",32.9994,-96.9996,"Operating",NA,NA,"Unknown","Unknown",0,787833.000000002,0,9853.70000000002,0
"Tract Data Centers","Caldwell Technology Park. near 2859 FM2720","Lockhart","TX","78644","Caldwell",29.91816,-97.7668,"Proposed",NA,"360-1600","Mega campus (>1,000 MW)","Unknown",360,650306.499999998,5.34870591032003,6730.6,5.34870591032003
"Texas Solarworks LLC","E Municipal Dr","Lubbock","TX","79403","Lubbock",33.62028,-101.7919,"Proposed",NA,NA,"Unknown","Unknown",0,692207.799999999,0,4380.4,0
"Data Center THM1A","Bean Rd","Lueders","TX","79533","Haskell",32.98045,-99.5673,"Proposed",NA,NA,"Unknown","Unknown",0,697538.2,0,4288.4,0
"Project LufKin: Amp Z Data Center","Near's Peoples St","Lufkin","TX","75901","Angelina",31.3579,-94.677475,"Proposed",NA,"175-1100","Mega campus (>1,000 MW)","Unknown",175,798348.700000003,9.30207835007707,1881.3,9.30207835007707
"North East Data Center LLC","TX-132 & Co Rd 683","Lytle","TX","78052","Medina",29.219524,-98.82438,"Proposed","Rowan","300","Hyperscale (100-999 MW)","Unknown",300,545137.500000002,4.65896384644055,6439.2,4.65896384644055
"Matagorda County Data Centers",NA,"Matagora County","TX",NA,"Matagorda",28.74159,-95.9322,"Proposed",NA,"20","Medium (11-50 MW)","Unknown",20,660242.499999999,0.183548544001175,10896.3,0.183548544001175
"Edged Austin","11255 Hwy 142","Maxwell","TX","78656","Caldwell",29.86609,-97.8132,"Proposed","Edged",NA,"Unknown","Unknown",0,640052.399999999,0,8719.7,0
"Prime DC AUS01 and AUS02","1395 Bob White Rd","Maxwell","TX","78657","Caldwell",29.92406,-97.7511,"Proposed","Prime DC",NA,"Unknown","Unknown",0,651416.699999999,0,6724.2,0
"1547 Data Center: MCTX1","200 S 10th St","McAllen","TX","78501","Hidalgo",26.20193,-98.2316,"Operating",NA,"1.5-5","Small (0-10 MW)","Unknown",1.5,435465.900000002,0.0240026883010897,6249.3,0.0240026883010897
"EXPERIAN DATA CENTER MCKINNEY","3400 S STONEBRIDGE DR","MCKINNEY","TX","75070","Collin",33.17172,-96.7252,"Operating",NA,NA,"Unknown","Unknown",0,798492.900000002,0,8521,0
"SAT 93 and SAT94","County Rd 381","Medina/ Castroville","TX","78253","Medina",29.424786,-98.81255,"Proposed","Microsoft",NA,"Unknown","Unknown",0,558885.599999999,0,6063,0
"Project Pumpkin 2A","8830 Co. Rd 21","Miami","TX","79059","Roberts",35.691273,-100.6382,"Proposed","Google",NA,"Unknown","Unknown",0,728157.3,0,2188.7,0
"FO Permian Partners and HiVolt Energy Data Center","30 minutes SE of Midland","Midland County","TX",NA,"Midland",31.76912,-101.898,"Proposed",NA,NA,"Unknown","Unknown",0,610071.699999998,0,7108.1,0
"AREP PowerHouse Grand Prairie","881 Miller Rd","Midlothian","TX","76065","Ellis",32.47629,-97.0691,"Approved/Permitted/Under construction","PowerHouse Data Centers","1800","Mega campus (>1,000 MW)","Unknown",1800,770057.800000001,12.9390284227324,13911.4,12.9390284227324
"Project Sharka: Google Data Center","3441 Railport Parkway","Midlothian","TX","76065","Ellis",32.444714,-97.05485,"Approved/Permitted/Under construction",NA,NA,"Unknown","Unknown",0,772657.600000001,0,14388.6,0
"Sharka Data Center (Google)","Railport Parkway","Midlothian","TX","76065","Ellis",32.44324,-97.0605,"Proposed","Google",NA,"Unknown","Unknown",0,769616.800000001,0,14388.6,0
"MIlan County Data Center",NA,"Milam County","TX",NA,"Milam",30.99355,-97.0035,"Proposed","Google",NA,"Unknown","Unknown",0,722118.700000001,0,7760.8,0
"Cielo Digital Infrastructure",NA,"Mustang Ridge","TX","78616","Travis",30.05179,-97.6772,"Proposed",NA,"500","Hyperscale (100-999 MW)","Unknown",500,659173.4,7.28693016206133,6861.6,7.28693016206133
"Project Gladys (Soluna)",NA,"near Bishop?","TX",NA,"Nueces",27.58049,-97.6401,"Approved/Permitted/Under construction",NA,"150","Hyperscale (100-999 MW)","Unknown",150,528447.500000002,2.38469976629942,6290.1,2.38469976629942
"Project Fei (Soluna)",NA,"near Childress","TX","79201","Childress",34.37431,-100.094,"Approved/Permitted/Under construction",NA,"100","Hyperscale (100-999 MW)","Unknown",100,719230.300000001,5.42888165038002,1842,5.42888165038002
"Project Hedy (Soluna)",NA,"near Lyford","TX",NA,"Willacy",26.32319,-97.585,"Approved/Permitted/Under construction",NA,"120","Hyperscale (100-999 MW)","Unknown",120,460158.800000002,2.28332223385025,5255.5,2.28332223385025
"Project Ellen (Soluna)",NA,"near Rio Hondo","TX","78583","Cameron",26.2517,-97.4894,"Approved/Permitted/Under construction",NA,"100","Hyperscale (100-999 MW)","Unknown",100,462967.400000002,2.19683655536028,4552,2.19683655536028
"Project Rosa (Soluna)",NA,"near Santa Rosa","TX","78593","Cameron",26.2419,-97.8223,"Approved/Permitted/Under construction",NA,"187","Hyperscale (100-999 MW)","Unknown",187,451606.000000002,3.1608661111205,5916.1,3.1608661111205
