ref_number,prefix,property_name,state,county,city,street_number,status,request_type,restricted_address,acreage_of_property,area_of_significance,category_of_property,external_link,level_of_significance_international,level_of_significance_national,level_of_significance_state,level_of_significance_local,level_of_significance_not_indicated,listed_date,nhl_designated_date,other_names,park_name,property_id,district_name,address
100009122,RS,Downtown Anniston Historic District (Boundary Increase Ii/Decrease),Alabama,Calhoun,Anniston,"20, 101, 227 14th St. West, 130, 216, 230 15th St. West",Listed,Resubmission,FALSE,85,Community Planning And Development; Commerce; Architecture; Ethnic Heritage-Black; Social History,District,https://catalog.archives.gov/id/77834951,FALSE,FALSE,FALSE,TRUE,FALSE,2024-11-14,NA,NA,NA,91000663,Downtown Anniston (Boundary Increase Ii/Decrease),"Downtown Anniston Historic District (Boundary Increase Ii/Decrease), Calhoun, Alabama"
10000270,NA,Downtown Anniston Historic District (Boundary Increase),Alabama,Calhoun,Anniston,"Bounded by Wilmer & Walnut Aves., W. 9th & 14th Sts.",Listed,Single,FALSE,66,Community Planning And Development; Commerce; Black; Architecture,District,https://catalog.archives.gov/id/77835857,FALSE,TRUE,FALSE,FALSE,FALSE,2010-05-24,NA,NA,NA,10000270,Downtown Anniston (Boundary Increase),"Downtown Anniston Historic District (Boundary Increase), Calhoun, Alabama"
86001044,NA,Downtown Jacksonville Historic District,Alabama,Calhoun,Jacksonville,"Roughly bounded by College, Thomas, Coffee, and Spring Sts.",Listed,Single,FALSE,33,Education; Exploration/Settlement; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77835835,FALSE,FALSE,FALSE,TRUE,FALSE,1986-05-13,NA,"See Also:Francis, Dr. J. C., Office",NA,86001044,Downtown Jacksonville,"Downtown Jacksonville Historic District, Calhoun, Alabama"
93000418,NA,East Anniston Residential Historic District,Alabama,Calhoun,Anniston,"Roughly, along Leighton and Christine Aves. from 11th St. to 22nd Sts. and Woodstock Ave. from 11th St. to Rocky Hollow",Listed,Multiple,FALSE,137,Community Planning And Development; Architecture,District,https://catalog.archives.gov/id/77834953,FALSE,FALSE,FALSE,TRUE,FALSE,1993-05-28,NA,See Also:Crowan Cottage;Kilby House;Saint Paul's Methodist E,NA,93000418,East Anniston Residential,"East Anniston Residential Historic District, Calhoun, Alabama"
06000981,NA,Fort Mcclellan Ammunition Storage Historic District,Alabama,Calhoun,Anniston,Pappy Dunn Blvd.,Listed,Single,FALSE,27,Military; Community Planning And Development; Architecture,District,https://catalog.archives.gov/id/77835869,FALSE,FALSE,FALSE,TRUE,FALSE,2006-11-08,NA,NA,NA,06000981,Fort Mcclellan Ammunition Storage,"Fort Mcclellan Ammunition Storage Historic District, Calhoun, Alabama"
06000982,NA,Fort Mcclellan Industrial Historic District,Alabama,Calhoun,Anniston,"Jimmy Parks Blvd., Transportation Rd., Idaho Ave.",Listed,Single,FALSE,52,Military; Community Planning And Development; Architecture,District,https://catalog.archives.gov/id/77835873,FALSE,FALSE,FALSE,TRUE,FALSE,2006-11-08,NA,Warehouse Area,NA,06000982,Fort Mcclellan Industrial,"Fort Mcclellan Industrial Historic District, Calhoun, Alabama"
06000983,NA,Fort Mcclellan Post Headquarters Historic District,Alabama,Calhoun,Anniston,"Buckner Circle, Headquarters Ave., Drennan Dr.",Listed,Single,FALSE,66,Military; Community Planning And Development; Architecture,District,https://catalog.archives.gov/id/77835867,FALSE,FALSE,FALSE,TRUE,FALSE,2006-11-08,NA,NA,NA,06000983,Fort Mcclellan Post Headquarters,"Fort Mcclellan Post Headquarters Historic District, Calhoun, Alabama"
85002867,NA,Glenwood Terrace Residential Historic District,Alabama,Calhoun,Anniston,"Roughly bounded by Oak St., Jefferson Ave., lots on S side of Glenwood Terr. & N side of Orchard St., and Highland Ave.",Listed,Multiple,FALSE,8,Architecture,District,https://catalog.archives.gov/id/77834925,FALSE,FALSE,TRUE,FALSE,FALSE,1985-10-03,NA,NA,NA,85002867,Glenwood Terrace Residential,"Glenwood Terrace Residential Historic District, Calhoun, Alabama"
06000436,NA,Profile Cotton Mills Historic District,Alabama,Calhoun,Jacksonville,"Alexandria St., A St., H St., and D St.",Listed,Single,FALSE,60,Industry; Social History,District,https://catalog.archives.gov/id/77835865,FALSE,FALSE,FALSE,TRUE,FALSE,2006-05-31,NA,Ide Cotton Mills,NA,06000436,Profile Cotton Mills,"Profile Cotton Mills Historic District, Calhoun, Alabama"
85002888,NA,Tyler Hill Residential Historic District,Alabama,Calhoun,Anniston,"Roughly bounded by E. Seventh, Knox and Goodwin and Lapsley Aves., E. Sixth St., and Leighton Ave.",Listed,Multiple,FALSE,12.5,Architecture,District,https://catalog.archives.gov/id/77834939,FALSE,FALSE,TRUE,FALSE,FALSE,1985-10-03,NA,See Also:Parker-Reynolds House,NA,85002888,Tyler Hill Residential,"Tyler Hill Residential Historic District, Calhoun, Alabama"
