ref_number,prefix,property_name,state,county,city,street_number,status,request_type,restricted_address,acreage_of_property,area_of_significance,category_of_property,external_link,level_of_significance_international,level_of_significance_national,level_of_significance_state,level_of_significance_local,level_of_significance_not_indicated,listed_date,nhl_designated_date,other_names,park_name,property_id,district_name,address,latitude,longitude
06000436,NA,Profile Cotton Mills Historic District,Alabama,Calhoun,Jacksonville,"Alexandria St., A St., H St., and D St.",Listed,Single,FALSE,60,Industry; Social History,District,https://catalog.archives.gov/id/77835865,FALSE,FALSE,FALSE,TRUE,FALSE,2006-05-31,NA,Ide Cotton Mills,NA,06000436,Profile Cotton Mills,"Profile Cotton Mills Historic District, Alexandria St., A St., H St., and D St., Jacksonville, Alabama",33.81118,-85.76968
85002888,NA,Tyler Hill Residential Historic District,Alabama,Calhoun,Anniston,"Roughly bounded by E. Seventh, Knox and Goodwin and Lapsley Aves., E. Sixth St., and Leighton Ave.",Listed,Multiple,FALSE,12.5,Architecture,District,https://catalog.archives.gov/id/77834939,FALSE,FALSE,TRUE,FALSE,FALSE,1985-10-03,NA,See Also:Parker-Reynolds House,NA,85002888,Tyler Hill Residential,"Tyler Hill Residential Historic District, Roughly bounded by E. Seventh, Knox and Goodwin and Lapsley Aves., E. Sixth St., and Leighton Ave., Anniston, Alabama",33.651812013077,-85.82495001416
91000662,NA,West Fifteenth Street Historic District,Alabama,Calhoun,Anniston,416--712 W. Fifteenth St.,Listed,Single,FALSE,5.7,Community Planning And Development; Commerce; Black; Architecture,District,https://catalog.archives.gov/id/77835861,FALSE,FALSE,FALSE,TRUE,FALSE,1991-05-30,NA,NA,NA,91000662,West Fifteenth Street,"West Fifteenth Street Historic District, 416--712 W. Fifteenth St., Anniston, Alabama",33.663523878746,-85.838649396709
80000682,NA,Chambers County Courthouse Square Historic District,Alabama,Chambers,Lafayette,"Roughly bounded by Alabama and 2nd Aves., and 1st St.",Listed,Single,FALSE,15,Architecture,District,https://catalog.archives.gov/id/77835882,FALSE,FALSE,TRUE,FALSE,FALSE,1980-03-27,NA,NA,NA,80000682,Chambers County Courthouse Square,"Chambers County Courthouse Square Historic District, Roughly bounded by Alabama and 2nd Aves., and 1st St., Lafayette, Alabama",32.903538980942,-85.402789006663
99001177,NA,Fairfax Historic District,Alabama,Chambers,Valley,"Roughly bounded by River Rd., Spring St., Lamer St., Derson St., Combs St., and Cussetta Rd.",Listed,Multiple,FALSE,240,Industry; Community Planning And Development; Social History,District,https://catalog.archives.gov/id/77834987,FALSE,FALSE,FALSE,TRUE,FALSE,1999-09-24,NA,NA,NA,99001177,Fairfax,"Fairfax Historic District, Roughly bounded by River Rd., Spring St., Lamer St., Derson St., Combs St., and Cussetta Rd., Valley, Alabama",32.798594703338,-85.191251395825
99001299,NA,Langdale Historic District,Alabama,Chambers,Valley,"Roughly bounded by 65th St., 20th Ave., 61st, 58th, and 55th Sts., 16th Ave., and Chattahoochie R.",Listed,Multiple,FALSE,NA,Industry; Community Planning And Development; Social History,District,https://catalog.archives.gov/id/77834991,FALSE,FALSE,FALSE,TRUE,FALSE,1999-11-12,NA,NA,NA,99001299,Langdale,"Langdale Historic District, Roughly bounded by 65th St., 20th Ave., 61st, 58th, and 55th Sts., 16th Ave., and Chattahoochie R., Valley, Alabama",32.817417,-85.171465
99001300,NA,Riverview Historic District,Alabama,Chambers,Valley,"Roughly bounded by School and G.I. Sts., Chattahoochee R. and along California St.",Listed,Multiple,FALSE,71,Industry; Community Planning And Development; Social History,District,https://catalog.archives.gov/id/77834993,FALSE,FALSE,FALSE,TRUE,FALSE,1999-11-12,NA,NA,NA,99001300,Riverview,"Riverview Historic District, Roughly bounded by School and G.I. Sts., Chattahoochee R. and along California St., Valley, Alabama",32.817417,-85.171465
99001176,NA,Shawmut Historic District,Alabama,Chambers,Valley,"Roughly bounded by 25th Blvd., 29th Blvd., 20th Ave., 35th St., and 38th Blvd.",Listed,Multiple,FALSE,201,Industry; Community Planning And Development; Social History,District,https://catalog.archives.gov/id/77834989,FALSE,FALSE,FALSE,TRUE,FALSE,1999-09-24,NA,NA,NA,99001176,Shawmut,"Shawmut Historic District, Roughly bounded by 25th Blvd., 29th Blvd., 20th Ave., 35th St., and 38th Blvd., Valley, Alabama",33.496396985602,-86.901434989135
04000557,NA,Gragg Field Historic District,Alabama,Chilton,Clanton,700 Airport Rd.,Listed,Single,FALSE,2.1,Transportation; Social History; Black,District,https://catalog.archives.gov/id/77835894,FALSE,FALSE,FALSE,TRUE,FALSE,2004-06-02,NA,Gragg-Wade Field Airport,NA,04000557,Gragg Field,"Gragg Field Historic District, 700 Airport Rd., Clanton, Alabama",32.849389455677,-86.610877489024
98000410,NA,Grove Hill Courthouse Square Historic District,Alabama,Clarke,Grove Hill,"Roughly along Cobb, Court, Jackson, and Main Sts.",Listed,Multiple,FALSE,17,Architecture; Commerce; Community Planning And Development,District,https://catalog.archives.gov/id/77835015,FALSE,FALSE,FALSE,TRUE,FALSE,1998-04-30,NA,NA,NA,98000410,Grove Hill Courthouse Square,"Grove Hill Courthouse Square Historic District, Roughly along Cobb, Court, Jackson, and Main Sts., Grove Hill, Alabama",31.708735018833,-87.776682035894
