system:index,institution_type,name,no2,.geo
00000000000000000231_0,Power Plant,Redwood Falls,3.0390907744902397E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.10913070615433,44.551946515907666]}"
00000000000000000232_0,Power Plant,Sleepy Eye,2.675985500128632E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.73183828682414,44.300418236354204]}"
00000000000000000233_0,Power Plant,Springfield (MN),2.542909207104932E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.9833665663776,44.23753616646584]}"
00000000000000000234_0,Power Plant,Spring Valley,3.02173892450278E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.40520170095458,43.67159753747054]}"
00000000000000000235_0,Power Plant,Thief River Falls,2.4202315661122383E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.17812589425657,48.13622449954456]}"
00000000000000000236_0,Power Plant,Truman,2.789999955146088E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.4174279373823,43.79736167724727]}"
00000000000000000237_0,Power Plant,Wells IC,2.85311079071275E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.72572516861027,43.73447960735891]}"
00000000000000000238_0,Power Plant,Westbrook,2.638077796133767E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.42354105559617,44.048889956800735]}"
00000000000000000239_0,Power Plant,Willmar,2.7240191976454793E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.04624863626597,45.117885144902964]}"
0000000000000000023a_0,Power Plant,Windom,2.4474686868661093E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.10913070615433,43.860243747135634]}"
0000000000000000023b_0,Power Plant,Worthington,2.7148516301897457E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.61218726526127,43.60871546758217]}"
0000000000000000023c_0,Power Plant,Cambridge CT Hybrid,2.443039453703665E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.22266860950334,45.6209417040099]}"
0000000000000000023d_0,Power Plant,Elk River,3.407360542049668E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.53707895894517,45.306531354568065]}"
0000000000000000023e_0,Power Plant,Maple Lake,3.117395006488043E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.04013551805211,45.2436492846797]}"
0000000000000000023f_0,Power Plant,Chevron Oil,2.2459201437577593E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.50651336787585,30.34059872113684]}"
00000000000000000240_0,Power Plant,Sweatt,1.791846577771494E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.75804164742932,32.2899428876762]}"
00000000000000000241_0,Power Plant,Jack Watson,2.0128190065674002E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.00956992698279,30.46636286091357]}"
00000000000000000242_0,Power Plant,L L Wilkins,2.1714447282176387E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.58162167419195,34.17640498432719]}"
00000000000000000243_0,Power Plant,Yazoo,1.6901216393056007E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.39297546452686,32.855881516671495]}"
00000000000000000244_0,Power Plant,Benndale,1.9252390010826567E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.82092371731768,30.906537350132137]}"
00000000000000000245_0,Power Plant,Moselle,2.2887657570450507E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.32398027642462,31.5353580490158]}"
00000000000000000246_0,Power Plant,Hawthorn,4.680533426016147E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.48031000727067,39.14408850550815]}"
00000000000000000247_0,Power Plant,Northeast (MO),5.385239137339496E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.54319207715903,39.14408850550815]}"
