system:index,impervious_surface,institution_type,name,.geo
0000000000000000004f_0,86,Fortune 500 HQ,"482. Intuit, Mountain View, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.09741766174227,37.42827426683269]}"
00000000000000000050_0,94,Fortune 500 HQ,"481. Old Republic International Corporation, Michigan Avenue, Chicago, IL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.6240222643361,41.88712116991753]}"
00000000000000000051_0,99,Fortune 500 HQ,"480. Graphic Packaging International, Atlanta, GA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.95423454189938,33.32746250644832]}"
00000000000000000052_0,74,Fortune 500 HQ,"338. AVIS, Parsippany, NJ, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.42298302100654,40.86719005399186]}"
00000000000000000053_0,82,Fortune 500 HQ,"337. Vistra/TXU Energy Corporate Office, Sierra Drive, Irving, TX, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.96433182495136,32.89848015052042]}"
00000000000000000054_0,74,Fortune 500 HQ,"479. Hd Supply Holdings Inc,  Atlanta, GA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.47296304046456,33.87713036639847]}"
00000000000000000055_0,100,Fortune 500 HQ,"478. Realogy Holdings Corp., Park Avenue, Madison, NJ, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.42312223729242,40.77153575429869]}"
00000000000000000056_0,89,Fortune 500 HQ,"477. Clorox Co, Broadway, Oakland, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.27230849336308,37.80362238923831]}"
00000000000000000057_0,99,Fortune 500 HQ,"476. Polaris Industries Inc, Highway 55, Medina, MN, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.57650659241723,45.057411721856404]}"
00000000000000000058_0,92,Fortune 500 HQ,"475. Booz Allen Hamilton Inc, , McLean, VA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.23193399302471,38.92169389139665]}"
00000000000000000059_0,90,Fortune 500 HQ,"474. L3Harris Technologies: Communication Systems-West, 2200 West, Salt Lake City, UT, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.95278390101798,40.783560737749426]}"
0000000000000000005a_0,68,Fortune 500 HQ,"473. Ralph Lauren New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.96536096982844,40.77139016814098]}"
