system:index,avg_rad,institution_type,name,.geo
0000000000000000002f_0,39.89417,Fortune 500 HQ,355. Frontier Communications,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.408079230037,41.1181363423608]}"
00000000000000000030_0,196.28,Fortune 500 HQ,"500. Levi's Store, San Francisco, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.4066864023363,37.78538663827737]}"
00000000000000000031_0,29.025833,Fortune 500 HQ,"354. J.B. Hunt Transport Services, Inc., J B Hunt Corporate Drive, Lowell, AR, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.15017914035676,36.244775926012395]}"
00000000000000000032_0,348.5975,Fortune 500 HQ,"499. Peabody Energy, St. Louis, MO, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.19310031381026,38.62531142892913]}"
00000000000000000033_0,97.17167,Fortune 500 HQ,"498. Western Union,Denver, CO, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.97487831399698,39.73922238123733]}"
00000000000000000034_0,38.026665,Fortune 500 HQ,353. UNIVAR,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.01019417339982,41.80983911113283]}"
00000000000000000035_0,153.30667,Fortune 500 HQ,352. WESTLAKE CHEMICAL,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.3718879267593,29.75893957466945]}"
00000000000000000036_0,223.65916,Fortune 500 HQ,351. Thrivent Financial for Lutherans,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.26533858549902,44.976400487654146]}"
00000000000000000037_0,147.37083,Fortune 500 HQ,350. Rockwell Collins,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.05561233252146,26.713650761504272]}"
00000000000000000038_0,53.900833,Fortune 500 HQ,"349. Campbell Soup Company, Campbell Place, Camden, NJ, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.1058951170229,39.93685174374363]}"
00000000000000000039_0,216.59917,Fortune 500 HQ,348. WILLIAMS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.99172547280178,36.154944397600445]}"
0000000000000000003a_0,30.414167,Fortune 500 HQ,"347. Veritiv Corporation, Governors Lake Parkway, Norcross, GA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.25074470935962,33.931614069404624]}"
0000000000000000003b_0,93.15833,Fortune 500 HQ,346. GameStop,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.07868696658639,32.93448410403196]}"
0000000000000000003c_0,98.590836,Fortune 500 HQ,"497. Navient, Wilmington, DE, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.55954433550326,39.73922238123733]}"
0000000000000000003d_0,196.43666,Fortune 500 HQ,"496. Simon Property Group, East Washington Street, Indianapolis, IN, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.16415626453421,39.76617183976092]}"
0000000000000000003e_0,87.35834,Fortune 500 HQ,"495. Williams-Sonoma, Post Street, San Francisco, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.4066864023363,37.78987821469797]}"
0000000000000000003f_0,154.8,Fortune 500 HQ,"494. Yum Brands, Louisville, KY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.75991438668042,38.252510586019525]}"
00000000000000000040_0,93.05167,Fortune 500 HQ,"493. Windstream Holdings Little Rock, AR, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.29066650222934,34.74458940153279]}"
00000000000000000041_0,53.748333,Fortune 500 HQ,345. Hilton Worldwide Holdings,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.17651184691839,38.93523020195036]}"
00000000000000000042_0,158.85583,Fortune 500 HQ,"492. Harley-Davidson Museum, West Canal Street, Milwaukee, WI, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.91587106856727,43.03154789753538]}"
00000000000000000043_0,100.77416,Fortune 500 HQ,"491. First American Financial, Santa Ana, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.86121106469153,33.702543671954146]}"
00000000000000000044_0,170.23334,Fortune 500 HQ,344. Air Products & Chemicals,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.4697128070913,40.601605053992074]}"
00000000000000000045_0,122.638336,Fortune 500 HQ,"489. TreeHouse Foods, Inc., Spring Road, Oak Brook, IL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.94731210351145,41.85026329891821]}"
00000000000000000046_0,63.755,Fortune 500 HQ,"488. Fiserv, Inc., Fiserv Drive, Brookfield, WI, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.14044988959715,43.03603947395598]}"
00000000000000000047_0,21.9925,Fortune 500 HQ,"487. Zoetis Inc., Sylvan Way, Parsippany, New Jersey, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.44563338319504,40.848641757124945]}"
00000000000000000048_0,287.16168,Fortune 500 HQ,342. Brighthouse Financial,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.84163820612604,35.22518807853674]}"
00000000000000000049_0,42.225834,Fortune 500 HQ,"486. Ingredion, Westchester, IL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.90688791572607,41.84577172249761]}"
0000000000000000004a_0,45.6925,Fortune 500 HQ,"485. ON Semiconductor, Phoenix, AZ, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.96826280086746,33.46449012166248]}"
0000000000000000004b_0,158.49083,Fortune 500 HQ,NA,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00545889397648,40.713894464507014]}"
0000000000000000004c_0,158.49083,Fortune 500 HQ,"484. Tapestry, New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00545889397648,40.713894464507014]}"
0000000000000000004d_0,237.52417,Fortune 500 HQ,340. Peter Kiewit Sons’,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.933334979334,41.25737521139933]}"
0000000000000000004e_0,45.939167,Fortune 500 HQ,"483. NetApp, Sunnyvale, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.01142767732371,37.41707737178837]}"
0000000000000000004f_0,38.165,Fortune 500 HQ,"482. Intuit, Mountain View, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.09676762931507,37.43055210105016]}"
00000000000000000050_0,283.28918,Fortune 500 HQ,"481. Old Republic International Corporation, Michigan Avenue, Chicago, IL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.62391860122843,41.88619591028299]}"
00000000000000000051_0,90.98917,Fortune 500 HQ,"480. Graphic Packaging International, Atlanta, GA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.95554915843425,33.32974282904455]}"
00000000000000000052_0,31.4375,Fortune 500 HQ,"338. AVIS, Parsippany, NJ, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.42317550109206,40.86660806280733]}"
00000000000000000053_0,94.99084,Fortune 500 HQ,"337. Vistra/TXU Energy Corporate Office, Sierra Drive, Irving, TX, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.96639755607146,32.898551492667174]}"
00000000000000000054_0,57.121666,Fortune 500 HQ,"479. Hd Supply Holdings Inc,  Atlanta, GA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.47083195396891,33.87771515235745]}"
00000000000000000055_0,27.9025,Fortune 500 HQ,"478. Realogy Holdings Corp., Park Avenue, Madison, NJ, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.42317550109206,40.77228495797478]}"
00000000000000000056_0,113.083336,Fortune 500 HQ,"477. Clorox Co, Broadway, Oakland, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.27193910971837,37.803352943959766]}"
