system:index,institution_type,name,no2,.geo
00000000000000000076_0,Fortune 500 HQ,"452. Rockwell Automation, Inc., Milwaukee, WI, USA",4.370542177808618E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.94057473888056,43.042776838586875]}"
00000000000000000077_0,Fortune 500 HQ,"329. O'Reilly Auto Parts Distribution Center, West Broadway Avenue, Minneapolis, MN, USA",4.43088392531404E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.34843274928008,45.055003075014604]}"
00000000000000000078_0,Fortune 500 HQ,"45. Burlington Stores, Burlington, NJ, USA",6.028009771726028E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.86110420210032,40.087319553833645]}"
00000000000000000079_0,Fortune 500 HQ,328. Hormel Foods,3.000963036752014E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.97114032994988,43.67159753747054]}"
0000000000000000007a_0,Fortune 500 HQ,327. Altice USA,5.646127787946448E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.16328831511443,40.77902232260568]}"
0000000000000000007b_0,Fortune 500 HQ,"450. Regeneron Pharmaceuticals, Inc., Tarrytown, NY, USA",5.2253165647871866E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.85499108388646,41.09343267204751]}"
0000000000000000007c_0,Fortune 500 HQ,"449. Ulta Beauty, Bolingbrook, IL, USA",9.086255500555166E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.06633887865729,41.72225337093118]}"
0000000000000000007d_0,Fortune 500 HQ,326. Advance Auto Parts,3.104646648507901E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-78.63402839540231,35.74845673153636]}"
0000000000000000007e_0,Fortune 500 HQ,"448. Wynn Resorts,  Las Vegas, NV, USA",5.827448871041007E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.16851100054325,36.125749150866554]}"
0000000000000000007f_0,Fortune 500 HQ,"447. Regions Financial, Birmingham, AL, USA",3.8236562706976986E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.80869748088996,33.54758428544353]}"
00000000000000000080_0,Fortune 500 HQ,325. Mosaic,3.8892560307322E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.47419688905681,44.992121005126236]}"
00000000000000000081_0,Fortune 500 HQ,"446. Wayfair, Boston, MA, USA",7.673807305835998E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.08818000879833,42.35107406981484]}"
00000000000000000082_0,Fortune 500 HQ,"445. RR Donnelley and Sons, Chicago, IL, USA",7.601491201048877E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.62616438943873,41.84801751070791]}"
00000000000000000083_0,Fortune 500 HQ,324. PVH,1.1137873414493033E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9807552236632,40.71614025271731]}"
00000000000000000084_0,Fortune 500 HQ,"444. Hanesbrands, Winston-Salem, NC, USA",3.236735716511033E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.26896221249984,36.06286708097819]}"
00000000000000000085_0,Fortune 500 HQ,"323. Public Service Enterprise Group, Park Place, Newark, NJ, USA",1.253653967105048E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.16940143332829,40.71614025271731]}"
