name,latitude,longitude,type,popup
Juniata College,40.500523,-78.017292,LAC,"<strong>Juniata College</strong><br/>Huntingdon, PA<br/>Type: LAC"
Beloit College,42.504022,-89.029285,LAC,"<strong>Beloit College</strong><br/>Beloit, WI<br/>Type: LAC"
Washington College,39.217329,-76.06878,LAC,"<strong>Washington College</strong><br/>Chestertown, MD<br/>Type: LAC"
Whittier College,33.978773,-118.032299,LAC,"<strong>Whittier College</strong><br/>Whittier, CA<br/>Type: LAC"
Saint Anselm College,42.986889,-71.503622,LAC,"<strong>Saint Anselm College</strong><br/>Manchester, NH<br/>Type: LAC"
University of Puget Sound,47.26308,-122.478982,LAC,"<strong>University of Puget Sound</strong><br/>Tacoma, WA<br/>Type: LAC"
Morehouse College,33.745982,-84.414917,LAC,"<strong>Morehouse College</strong><br/>Atlanta, GA<br/>Type: LAC"
St. Mary's College of Maryland,38.188047,-76.430994,LAC,"<strong>St. Mary's College of Maryland</strong><br/>St. Mary's City, MD<br/>Type: LAC"
Augustana College,41.502365,-90.55057,LAC,"<strong>Augustana College</strong><br/>Rock Island, IL<br/>Type: LAC"
Lycoming College,41.24666,-77,LAC,"<strong>Lycoming College</strong><br/>Williamsport, PA<br/>Type: LAC"
Lewis & Clark College,45.450882,-122.669137,LAC,"<strong>Lewis & Clark College</strong><br/>Portland, OR<br/>Type: LAC"
Randolph-Macon College,37.76043,-77.478416,LAC,"<strong>Randolph-Macon College</strong><br/>Ashland, VA<br/>Type: LAC"
Susquehanna University,40.797502,-76.875329,LAC,"<strong>Susquehanna University</strong><br/>Selinsgrove, PA<br/>Type: LAC"
St. John's College,35.666974,-105.912478,LAC,"<strong>St. John's College</strong><br/>Santa Fe, NM<br/>Type: LAC"
Hendrix College,35.101565,-92.443256,LAC,"<strong>Hendrix College</strong><br/>Conway, AR<br/>Type: LAC"
Hampden-Sydney College,37.240615,-78.464216,LAC,"<strong>Hampden-Sydney College</strong><br/>Hampden-Sydney, VA<br/>Type: LAC"
Patrick Henry College,39.138687,-77.690939,LAC,"<strong>Patrick Henry College</strong><br/>Purcellville, VA<br/>Type: LAC"
Sarah Lawrence College,40.9355,-73.843727,LAC,"<strong>Sarah Lawrence College</strong><br/>Bronxville, NY<br/>Type: LAC"
Transylvania University,38.052983,-84.493202,LAC,"<strong>Transylvania University</strong><br/>Lexington, KY<br/>Type: LAC"
St. Norbert College,44.44483,-88.067812,LAC,"<strong>St. Norbert College</strong><br/>De Pere, WI<br/>Type: LAC"
Linfield College,45.201173,-123.199642,LAC,"<strong>Linfield College</strong><br/>McMinnville, OR<br/>Type: LAC"
Luther College,43.312304,-91.802809,LAC,"<strong>Luther College</strong><br/>Decorah, IA<br/>Type: LAC"
Illinois College,39.7313,-90.246171,LAC,"<strong>Illinois College</strong><br/>Jacksonville, IL<br/>Type: LAC"
Hanover College,38.715642,-85.460051000000007,LAC,"<strong>Hanover College</strong><br/>Hanover, IN<br/>Type: LAC"
Westmont College,34.450151,-119.662517,LAC,"<strong>Westmont College</strong><br/>Santa Barbara, CA<br/>Type: LAC"
Massachusetts College of Liberal Arts,42.691361,-73.102817,LAC,"<strong>Massachusetts College of Liberal Arts</strong><br/>North Adams, MA<br/>Type: LAC"
Saint Michael's College,44.494558,-73.167069,LAC,"<strong>Saint Michael's College</strong><br/>Colchester, VT<br/>Type: LAC"
University of Minnesota Morris,45.589775,-95.899729,LAC,"<strong>University of Minnesota Morris</strong><br/>Morris, MN<br/>Type: LAC"
Meredith College,35.799351,-78.689995,LAC,"<strong>Meredith College</strong><br/>Raleigh, NC<br/>Type: LAC"
Westminster College,41.119272,-80.331017,LAC,"<strong>Westminster College</strong><br/>New Wilmington, PA<br/>Type: LAC"
Bennington College,42.919547,-73.237799,LAC,"<strong>Bennington College</strong><br/>Bennington, VT<br/>Type: LAC"
Saint Vincent College,40.29265,-79.403762,LAC,"<strong>Saint Vincent College</strong><br/>Latrobe, PA<br/>Type: LAC"
Ohio Wesleyan University,40.295963,-83.069757,LAC,"<strong>Ohio Wesleyan University</strong><br/>Delaware, OH<br/>Type: LAC"
Cornell College,41.924554,-91.423741,LAC,"<strong>Cornell College</strong><br/>Mount Vernon, IA<br/>Type: LAC"
Covenant College,34.965161,-85.375066,LAC,"<strong>Covenant College</strong><br/>Lookout Mountain, GA<br/>Type: LAC"
Roanoke College,37.294861,-80.055467,LAC,"<strong>Roanoke College</strong><br/>Salem, VA<br/>Type: LAC"
Goucher College,39.410175,-76.594843,LAC,"<strong>Goucher College</strong><br/>Baltimore, MD<br/>Type: LAC"
Coe College,41.988263,-91.658192,LAC,"<strong>Coe College</strong><br/>Cedar Rapids, IA<br/>Type: LAC"
College of the Atlantic,44.395258,-68.221517,LAC,"<strong>College of the Atlantic</strong><br/>Bar Harbor, ME<br/>Type: LAC"
Albion College,42.245049,-84.745639,LAC,"<strong>Albion College</strong><br/>Albion, MI<br/>Type: LAC"
Central College,41.401539,-92.922199,LAC,"<strong>Central College</strong><br/>Pella, IA<br/>Type: LAC"
University of Mary Washington,38.302492,-77.476055,LAC,"<strong>University of Mary Washington</strong><br/>Fredericksburg, VA<br/>Type: LAC"
State University of New York at Purchase College,41.047223,-73.701955,LAC,"<strong>State University of New York at Purchase College</strong><br/>Purchase, NY<br/>Type: LAC"
New College of Florida,27.384925,-82.55858,LAC,"<strong>New College of Florida</strong><br/>Sarasota, FL<br/>Type: LAC"
Eckerd College,27.715798,-82.687043,LAC,"<strong>Eckerd College</strong><br/>Saint Petersburg, FL<br/>Type: LAC"
Concordia College at Moorhead,46.862482,-96.76749,LAC,"<strong>Concordia College at Moorhead</strong><br/>Moorhead, MN<br/>Type: LAC"
University of North Carolina at Asheville,35.617068,-82.565392,LAC,"<strong>University of North Carolina at Asheville</strong><br/>Asheville, NC<br/>Type: LAC"
Hollins University,37.354201,-79.943277,LAC,"<strong>Hollins University</strong><br/>Roanoke, VA<br/>Type: LAC"
Emmanuel College,42.340602,-71.103634,LAC,"<strong>Emmanuel College</strong><br/>Boston, MA<br/>Type: LAC"
University of New Hampshire at Manchester,42.987209,-71.468755,LAC,"<strong>University of New Hampshire at Manchester</strong><br/>Manchester, NH<br/>Type: LAC"
Claflin University,33.498444,-80.854319,LAC,"<strong>Claflin University</strong><br/>Orangeburg, SC<br/>Type: LAC"
Salem College,36.086271000000004,-80.241297,LAC,"<strong>Salem College</strong><br/>Winston-Salem, NC<br/>Type: LAC"
Centenary College of Louisiana,32.483335,-93.730834,LAC,"<strong>Centenary College of Louisiana</strong><br/>Shreveport, LA<br/>Type: LAC"
Ripon College,43.844135,-88.842333,LAC,"<strong>Ripon College</strong><br/>Ripon, WI<br/>Type: LAC"
Millsaps College,32.322746,-90.179957,LAC,"<strong>Millsaps College</strong><br/>Jackson, MS<br/>Type: LAC"
Franklin College,39.478298,-86.047182,LAC,"<strong>Franklin College</strong><br/>Franklin, IN<br/>Type: LAC"
Aquinas College,42.96019,-85.628785,LAC,"<strong>Aquinas College</strong><br/>Grand Rapids, MI<br/>Type: LAC"
Houghton College,42.426137,-78.155426,LAC,"<strong>Houghton College</strong><br/>Houghton, NY<br/>Type: LAC"
New Saint Andrews College,46.731422,-117.001804,LAC,"<strong>New Saint Andrews College</strong><br/>Moscow, ID<br/>Type: LAC"
Hartwick College,42.457599,-75.071994,LAC,"<strong>Hartwick College</strong><br/>Oneonta, NY<br/>Type: LAC"
Ouachita Baptist University,34.126093,-93.052471,LAC,"<strong>Ouachita Baptist University</strong><br/>Arkadelphia, AR<br/>Type: LAC"
University of Puerto Rico in Cayey,18.11882,-66.162066,LAC,"<strong>University of Puerto Rico in Cayey</strong><br/>Cayey, PR<br/>Type: LAC"
Monmouth College,40.914824,-90.63731,LAC,"<strong>Monmouth College</strong><br/>Monmouth, IL<br/>Type: LAC"
Bethany Lutheran College,44.166649,-93.990805,LAC,"<strong>Bethany Lutheran College</strong><br/>Mankato, MN<br/>Type: LAC"
Hampshire College,42.325852,-72.531469,LAC,"<strong>Hampshire College</strong><br/>Amherst, MA<br/>Type: LAC"
Dillard University,29.996587,-90.06464,LAC,"<strong>Dillard University</strong><br/>New Orleans, LA<br/>Type: LAC"
Oglethorpe University,33.875441,-84.333687,LAC,"<strong>Oglethorpe University</strong><br/>Atlanta, GA<br/>Type: LAC"
Fisk University,36.167087,-86.804805,LAC,"<strong>Fisk University</strong><br/>Nashville, TN<br/>Type: LAC"
Wartburg College,42.7277,-92.483387,LAC,"<strong>Wartburg College</strong><br/>Waverly, IA<br/>Type: LAC"
Gordon College,42.590567,-70.82151,LAC,"<strong>Gordon College</strong><br/>Wenham, MA<br/>Type: LAC"
Randolph College,37.437315,-79.171887,LAC,"<strong>Randolph College</strong><br/>Lynchburg, VA<br/>Type: LAC"
Presbyterian College,34.465834,-81.87448,LAC,"<strong>Presbyterian College</strong><br/>Clinton, SC<br/>Type: LAC"
Wittenberg University,39.934029,-83.815445,LAC,"<strong>Wittenberg University</strong><br/>Springfield, OH<br/>Type: LAC"
Westminster College,38.849354,-91.955273,LAC,"<strong>Westminster College</strong><br/>Fulton, MO<br/>Type: LAC"
Sweet Briar College,37.556725,-79.081014,LAC,"<strong>Sweet Briar College</strong><br/>Sweet Briar, VA<br/>Type: LAC"
Bridgewater College,38.378484,-78.969007,LAC,"<strong>Bridgewater College</strong><br/>Bridgewater, VA<br/>Type: LAC"
Lyon College,35.777619,-91.625354,LAC,"<strong>Lyon College</strong><br/>Batesville, AR<br/>Type: LAC"
University of Virginia's College at Wise,36.970602,-82.559656,LAC,"<strong>University of Virginia's College at Wise</strong><br/>Wise, VA<br/>Type: LAC"
Albright College,40.361351,-75.909742,LAC,"<strong>Albright College</strong><br/>Reading, PA<br/>Type: LAC"
Maryville College,35.751505,-83.964223,LAC,"<strong>Maryville College</strong><br/>Maryville, TN<br/>Type: LAC"
Guilford College,36.094233,-79.887737,LAC,"<strong>Guilford College</strong><br/>Greensboro, NC<br/>Type: LAC"
Johnson C. Smith University,35.243033,-80.857251,LAC,"<strong>Johnson C. Smith University</strong><br/>Charlotte, NC<br/>Type: LAC"
Simpson University,40.61334,-122.332981,LAC,"<strong>Simpson University</strong><br/>Redding, CA<br/>Type: LAC"
Ava Maria University,26.242138,-81.731358,LAC,"<strong>Ava Maria University</strong><br/>Naples, FL<br/>Type: LAC"
Medgar Evers College-CUNY,40.666256,-73.957076,LAC,"<strong>Medgar Evers College-CUNY</strong><br/>Brooklyn, NY<br/>Type: LAC"
Providence Christian College,34.149327,-118.141062,LAC,"<strong>Providence Christian College</strong><br/>Pasadena, CA<br/>Type: LAC"
Virginia Wesleyan University,36.868417,-76.18606,LAC,"<strong>Virginia Wesleyan University</strong><br/>Virginia Beach, VA<br/>Type: LAC"
Marymount Manhattan College,40.768787,-73.959767,LAC,"<strong>Marymount Manhattan College</strong><br/>New York, NY<br/>Type: LAC"
Georgetown College,38.207615,-84.553767,LAC,"<strong>Georgetown College</strong><br/>Georgetown, KY<br/>Type: LAC"
Bryn Athyn College of the New Church,40.134393,-75.060808,LAC,"<strong>Bryn Athyn College of the New Church</strong><br/>Bryn Athyn, PA<br/>Type: LAC"
Tougaloo College,32.403014,-90.16076,LAC,"<strong>Tougaloo College</strong><br/>Tougaloo, MS<br/>Type: LAC"
Antioch College,39.80321,-83.908684,LAC,"<strong>Antioch College</strong><br/>Yellow Springs, OH<br/>Type: LAC"
Oakwood University,34.756344,-86.652705,LAC,"<strong>Oakwood University</strong><br/>Huntsville, AL<br/>Type: LAC"
Bethune-Cookman University,29.207195,-81.032946,LAC,"<strong>Bethune-Cookman University</strong><br/>Daytona Beach, FL<br/>Type: LAC"
"Holy Cross College at Notre Dame, Indiana",41.698996,-86.253822,LAC,"<strong>Holy Cross College at Notre Dame, Indiana</strong><br/>Notre Dame, IN<br/>Type: LAC"
Southern Virginia University,37.740368,-79.35037,LAC,"<strong>Southern Virginia University</strong><br/>Buena Vista, VA<br/>Type: LAC"
Bennett College,36.067531,-79.77998,LAC,"<strong>Bennett College</strong><br/>Greensboro, NC<br/>Type: LAC"
Allen University,34.010348,-81.020045,LAC,"<strong>Allen University</strong><br/>Columbia, SC<br/>Type: LAC"
Bethany College,40.205819,-80.560056,LAC,"<strong>Bethany College</strong><br/>Bethany, WV<br/>Type: LAC"
Cheyney University of Pennsylvania,39.932274,-75.529262,LAC,"<strong>Cheyney University of Pennsylvania</strong><br/>Cheyney, PA<br/>Type: LAC"
East-West University,41.871309,-87.624793,LAC,"<strong>East-West University</strong><br/>Chicago, IL<br/>Type: LAC"
Hebrew Theological College,42.010103,-87.760874,LAC,"<strong>Hebrew Theological College</strong><br/>Skokie, IL<br/>Type: LAC"
Lane College,35.627378,-88.806535,LAC,"<strong>Lane College</strong><br/>Jackson, TN<br/>Type: LAC"
Rust College,34.776862,-89.446999,LAC,"<strong>Rust College</strong><br/>Holly Springs, MS<br/>Type: LAC"
University of Pittsburgh at Greensburg,40.276447,-79.532676,LAC,"<strong>University of Pittsburgh at Greensburg</strong><br/>Greensburg, PA<br/>Type: LAC"
University of Science and Arts of Oklahoma,35.031392,-97.95641,LAC,"<strong>University of Science and Arts of Oklahoma</strong><br/>Chickasha, OK<br/>Type: LAC"
Virginia Union University,37.562405,-77.450903,LAC,"<strong>Virginia Union University</strong><br/>Richmond, VA<br/>Type: LAC"
Warren Wilson College,35.610328,-82.442619,LAC,"<strong>Warren Wilson College</strong><br/>Swannanoa, NC<br/>Type: LAC"
Young Harris College,34.933523,-83.84587,LAC,"<strong>Young Harris College</strong><br/>Young Harris, GA<br/>Type: LAC"
Pennsylvania State University at Brandywine,39.927123,-75.449704,LAC,"<strong>Pennsylvania State University at Brandywine</strong><br/>Media, PA<br/>Type: LAC"
The King's College,40.706677,-74.012342,LAC,"<strong>The King's College</strong><br/>New York, NY<br/>Type: LAC"
Simpson College,41.365503,-93.563471,LAC,"<strong>Simpson College</strong><br/>Indianola, IA<br/>Type: LAC"
Paine College,33.469545,-81.993225,LAC,"<strong>Paine College</strong><br/>Augusta, GA<br/>Type: LAC"
Pillar College,40.738539,-74.169153,LAC,"<strong>Pillar College</strong><br/>Newark, NJ<br/>Type: LAC"
Birmingham-Southern College,33.513774,-86.850552,LAC,"<strong>Birmingham-Southern College</strong><br/>Birmingham, AL<br/>Type: LAC"
Wells College,42.742943,-76.696028,LAC,"<strong>Wells College</strong><br/>Aurora, NY<br/>Type: LAC"
Martin University,39.798144,-86.103953,LAC,"<strong>Martin University</strong><br/>Indianapolis, IN<br/>Type: LAC"
Adrian College,41.898591,-84.061481,LAC,"<strong>Adrian College</strong><br/>Adrian, MI<br/>Type: LAC"
Albert Magnus College,41.332519,-72.923848,LAC,"<strong>Albert Magnus College</strong><br/>New Haven, CT<br/>Type: LAC"
Albertson College,43.652284,-116.677992,LAC,"<strong>Albertson College</strong><br/>Caldwell, ID<br/>Type: LAC"
Alfred University,42.254476,-77.788106,LAC,"<strong>Alfred University</strong><br/>Alfred, NY<br/>Type: LAC"
Alice Lloyd College,37.335087,-82.875068,LAC,"<strong>Alice Lloyd College</strong><br/>Pippa Passes, KY<br/>Type: LAC"
Alma College,43.38004,-84.672053,LAC,"<strong>Alma College</strong><br/>Alma, MI<br/>Type: LAC"
American Jewish University,34.128153,-118.471706,LAC,"<strong>American Jewish University</strong><br/>Los Angeles, CA<br/>Type: LAC"
Amridge University,32.362609,-86.17401,LAC,"<strong>Amridge University</strong><br/>Montgomery, AL<br/>Type: LAC"
Arkansas Baptist College,34.734751,-92.290555,LAC,"<strong>Arkansas Baptist College</strong><br/>Little Rock, AR<br/>Type: LAC"
Asbury University,37.862029,-84.662606,LAC,"<strong>Asbury University</strong><br/>Wilmore, KY<br/>Type: LAC"
Baker University,38.778712,-95.187346,LAC,"<strong>Baker University</strong><br/>Baldwin City, KS<br/>Type: LAC"
Bard College at Simon's Rock,42.208803,-73.379201,LAC,"<strong>Bard College at Simon's Rock</strong><br/>Great Barrington, MA<br/>Type: LAC"
Bay Path University,42.055088,-72.583382,LAC,"<strong>Bay Path University</strong><br/>Longmeadow, MA<br/>Type: LAC"
Benedictine College,39.573079,-95.113858,LAC,"<strong>Benedictine College</strong><br/>Atchison, KS<br/>Type: LAC"
Berry College,34.290414,-85.189202,LAC,"<strong>Berry College</strong><br/>Mount Berry, GA<br/>Type: LAC"
Bethel College,38.075169,-97.343256,LAC,"<strong>Bethel College</strong><br/>North Newton, KS<br/>Type: LAC"
Bethel University,36.137848,-88.516762,LAC,"<strong>Bethel University</strong><br/>McKenzie, TN<br/>Type: LAC"
Blackburn College,39.287896,-89.870241,LAC,"<strong>Blackburn College</strong><br/>Carlinville, IL<br/>Type: LAC"
Bloomfield College,40.795105,-74.194309,LAC,"<strong>Bloomfield College</strong><br/>Bloomfield, NJ<br/>Type: LAC"
