Ref#,Property Name,State,County,City,Street & Number,Area of Significance,Category of Property,Other Names,Property ID,Address
93001129,Lincoln Theatre,DISTRICT OF COLUMBIA,District of Columbia,Washington,1215 U St. NW,ENTERTAINMENT/RECREATION; BLACK; ARCHITECTURE,BUILDING,NA,93001129,"1215 U St. NW, Washington, DISTRICT OF COLUMBIA"
90001548,Lisner Auditorium,DISTRICT OF COLUMBIA,District of Columbia,Washington,"730 21st St., NW.",ARCHITECTURE; PERFORMING ARTS,BUILDING,George Washington University Auditorium,90001548,"730 21st St., NW., Washington, DISTRICT OF COLUMBIA"
07000592,Newton Theater,DISTRICT OF COLUMBIA,District of Columbia,Washington,3601-3611 12th St. NE,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,NA,07000592,"3601-3611 12th St. NE, Washington, DISTRICT OF COLUMBIA"
04000117,Plymouth Theater,DISTRICT OF COLUMBIA,District of Columbia,Washington,"1365 H St., NE",ARCHITECTURE; TRANSPORTATION; BLACK; ENTERTAINMENT/RECREATION,BUILDING,Mott Motors; H Street Playhouse,04000117,"1365 H St., NE, Washington, DISTRICT OF COLUMBIA"
86003071,Southern Aid Society-Dunbar Theater Building,DISTRICT OF COLUMBIA,District of Columbia,Washington,1901--1903 Seventh St. NW,COMMERCE; ENTERTAINMENT/RECREATION; BLACK; ARCHITECTURE; SOCIAL HISTORY,BUILDING,NA,86003071,"1901--1903 Seventh St. NW, Washington, DISTRICT OF COLUMBIA"
08001093,Strand Theater,DISTRICT OF COLUMBIA,District of Columbia,"Washington, DC.",5129-5131 Nannie Helen Burroughs Ave. NE.,SOCIAL HISTORY; BLACK; ENTERTAINMENT/RECREATION,BUILDING,Deanwood,08001093,"5129-5131 Nannie Helen Burroughs Ave. NE., Washington, DC., DISTRICT OF COLUMBIA"
85000716,Tivoli Theater,DISTRICT OF COLUMBIA,District of Columbia,Washington,3301-3325 14th St. NW,ENTERTAINMENT/RECREATION; ARCHITECTURE; PERFORMING ARTS,BUILDING,NA,85000716,"3301-3325 14th St. NW, Washington, DISTRICT OF COLUMBIA"
100008461,Uptown Theatre,DISTRICT OF COLUMBIA,District of Columbia,Washington,3426 Connecticut Ave. NW,ARCHITECTURE; ENTERTAINMENT/RECREATION,building,Cineplex-Odeon Uptown; AMC-Loews Uptown,100008461,"3426 Connecticut Ave. NW, Washington, DISTRICT OF COLUMBIA"
91001541,Aladdin Theater,FLORIDA,Brevard,Cocoa,300 Brevard Ave.,ENTERTAINMENT/RECREATION; ARCHITECTURE; SOCIAL HISTORY; PERFORMING ARTS,BUILDING,Cocoa Village Playhouse;8BR282,91001541,"300 Brevard Ave., Cocoa, FLORIDA"
99001636,Operations and Checkout Building,FLORIDA,Brevard,Kennedy Space Center,"NASA, John F. Kennedy Space Center",ENGINEERING; ARCHITECTURE; OTHER,BUILDING,Manned Spacecraft Operations Building (MSOB); 8BR1693,99001636,"NASA, John F. Kennedy Space Center, Kennedy Space Center, FLORIDA"
82001034,Florida Theater,FLORIDA,Duval,Jacksonville,128-134 E. Forsyth St.,COMMERCE; ENTERTAINMENT/RECREATION,BUILDING,NA,82001034,"128-134 E. Forsyth St., Jacksonville, FLORIDA"
91000895,Little Theatre,FLORIDA,Duval,Jacksonville,2032 San Marco Blvd.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,Theatre Jacksonville;8Du5809,91000895,"2032 San Marco Blvd., Jacksonville, FLORIDA"
76000596,Saenger Theatre,FLORIDA,Escambia,Pensacola,118 S. Palafox St.,ARCHITECTURE; PERFORMING ARTS,BUILDING,NA,76000596,"118 S. Palafox St., Pensacola, FLORIDA"
03000508,Port Theatre (Additional Documentation),FLORIDA,Gulf,Port St. Joe,314 Reid Ave.,ENTERTAINMENT/RECREATION,BUILDING,FMSF #GU135,03000508,"314 Reid Ave., Port St. Joe, FLORIDA"
98001202,Dixie Crystal Theatre,FLORIDA,Hendry,Clewiston,100 E. Sugarland Hwy.,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,Clewiston Theater,98001202,"100 E. Sugarland Hwy., Clewiston, FLORIDA"
78000945,Tampa Theater and Office Building,FLORIDA,Hillsborough,Tampa,711 Franklin St.,ARCHITECTURE; PERFORMING ARTS,BUILDING,NA,78000945,"711 Franklin St., Tampa, FLORIDA"
92000421,Vero Theatre,FLORIDA,Indian River,Vero Beach,2036 14th Ave.,COMMERCE; ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,Florida Theatre;Theatre Plaza;8IR621,92000421,"2036 14th Ave., Vero Beach, FLORIDA"
72000330,Perkins Opera House,FLORIDA,Jefferson,Monticello,Washington St. and Courthouse Sq.,ENTERTAINMENT/RECREATION,BUILDING,NA,72000330,"Washington St. and Courthouse Sq., Monticello, FLORIDA"
93001204,Lyric Theatre,FLORIDA,Martin,Stuart,59 SW. Flagler Ave.,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,Site #8MT00086,93001204,"59 SW. Flagler Ave., Stuart, FLORIDA"
16000359,Ace Theatre,FLORIDA,Miami-Dade,Miami,3664 Grand Ave.,ENTERTAINMENT/RECREATION; SOCIAL HISTORY; BLACK,building,Florida Master Site File #DA14112,16000359,"3664 Grand Ave., Miami, FLORIDA"
100003018,Coconut Grove Playhouse,FLORIDA,Miami-Dade,Miami,3500 Main Hwy,ARCHITECTURE; ENTERTAINMENT/RECREATION,building,Coconut Grove Theater; Players State Theater; The Grove; FMSF DA01070,100003018,"3500 Main Hwy, Miami, FLORIDA"
88002965,Lyric Theater,FLORIDA,Miami-Dade,Miami,819 N.W. 2nd Ave.,ARCHITECTURE; SOCIAL HISTORY,BUILDING,NA,88002965,"819 N.W. 2nd Ave., Miami, FLORIDA"
84000839,Olympia Theater and Office Building,FLORIDA,Miami-Dade,Miami,174 E. Flager St.,COMMERCE; ARCHITECTURE; PERFORMING ARTS,BUILDING,Maurice Gusman Cultural Center,84000839,"174 E. Flager St., Miami, FLORIDA"
98001256,Operation Crossbow Site,FLORIDA,Okaloosa,Eglin Air Force Base,Address Restricted,MILITARY,SITE,NA,98001256,"Address Restricted, Eglin Air Force Base, FLORIDA"
98000863,"Russell, Annie, Theatre",FLORIDA,Orange,Winter Park,1000 Holt Ave.,ARCHITECTURE; EDUCATION; PERFORMING ARTS,BUILDING,8OR8148,98000863,"1000 Holt Ave., Winter Park, FLORIDA"
100005413,Veterans Memorial Library and Woman's Club of St. Cloud Auditorium,FLORIDA,Osceola,St. Cloud,1012-1014 Massachusetts Ave.,ENTERTAINMENT/RECREATION; ARCHITECTURE; SOCIAL HISTORY,building,Woman's Club of St. Cloud; OS01255,100005413,"1012-1014 Massachusetts Ave., St. Cloud, FLORIDA"
73000599,Paramount Theatre Building,FLORIDA,Palm Beach,Palm Beach,145 N. County Rd.,ARCHITECTURE; PERFORMING ARTS,BUILDING,NA,73000599,"145 N. County Rd., Palm Beach, FLORIDA"
93000446,Polk Theatre and Office Building,FLORIDA,Polk,Lakeland,121 S. Florida Ave.,COMMUNITY PLANNING AND DEVELOPMENT; ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,Polk Theatre;8PO396,93000446,"121 S. Florida Ave., Lakeland, FLORIDA"
84003835,Edwards Theatre,FLORIDA,Sarasota,Sarasota,57 N. Pineapple Ave.,ARCHITECTURE; PERFORMING ARTS,BUILDING,Sarasota Theater of the Arts,84003835,"57 N. Pineapple Ave., Sarasota, FLORIDA"
95000164,Municipal Auditorium-Recreation Club,FLORIDA,Sarasota,Sarasota,801 N. Tamiani Trail,ARCHITECTURE; COMMUNITY PLANNING AND DEVELOPMENT; ENTERTAINMENT/RECREATION,BUILDING,Civic Center;City of Sarasota Exhibition Hall,95000164,"801 N. Tamiani Trail, Sarasota, FLORIDA"
